requirement_id,tool_subsystem,source_doc_section,required_behavior,implementation_location,automated_test_reference,status,evidence_and_remaining_work
CORE-011,Shared parsing and result state,"CALCULATION_SPEC.md §§1,6,7","GIVEN Valid cost100,price0 WHEN Calculate THEN profit-100.00;margin=null;zero_price; priced issue needs no-charge confirmation.",tests/fixtures/acceptance-fixtures.json (id=no-charge); tests/engine/pricing.test.ts:16-24,"tests/engine/fixtures.test.ts, tests/engine/pricing.test.ts",verified,"Carried forward from ACCEPTANCE_MATRIX.csv (case CORE-011), re-confirmed: full suite rerun this session (373 passed/3 skipped, 40 files) includes tests/engine/fixtures.test.ts, tests/engine/pricing.test.ts. Prior evidence: "
CORE-012,Shared parsing and result state,"CALCULATION_SPEC.md §§1,6,7","GIVEN Valid cost0,price100 WHEN Calculate THEN profit100.00;margin100.0%; no division by cost in margin formula.",src/engine/pricing.ts:33-36,tests/domain/coreRequirements.test.ts; tests/engine/pricing.test.ts,verified,"Confirming test added: cost=0, price=100 -> profit=$100.00, margin=100.0%, computed via (price-cost)/price -- never divides by cost, which would be undefined at cost=0. No remaining work."
CORE-013,Shared parsing and result state,"CALCULATION_SPEC.md §§1,6,7","GIVEN Valid cost0,price0 WHEN Calculate THEN profit0.00;margin=null; zero_price, not a NaN percentage.",src/engine/pricing.ts:59-69,tests/domain/coreRequirements.test.ts; tests/engine/pricing.test.ts:16-24,verified,"Confirming test added for the exact cost=0/price=0 pair: status=zero_price, profit=$0.00 (a real number, not null), margin=null (not NaN). No remaining work."
CORE-014,Shared parsing and result state,"CALCULATION_SPEC.md §§1,6,7","GIVEN Valid cost65.0001,price100,target.35 WHEN Calculate then display THEN displayed margin35.0% but raw below_target; do not compare formatted percentages.","src/engine/decimal.ts:27-29 (toPercentString); src/engine/pricing.ts:73-80 (status compares raw marginRatio, never the formatted string)",tests/domain/coreRequirements.test.ts,verified,"Confirming test added: cost=65.0001/price=100/target=0.35 displays ""35.0%"" (rounded) while the raw marginRatio is provably < 0.35, yielding status=below_target -- proving status is computed from the unrounded Decimal, not the display string. No remaining work."
CORE-015,Shared parsing and result state,"CALCULATION_SPEC.md §§1,6,7","GIVEN Valid cost64.9999,price100,target.35 WHEN Calculate then display THEN displayed margin35.0% but raw above_target.",src/engine/decimal.ts:27-29; src/engine/pricing.ts:73-80,tests/domain/coreRequirements.test.ts,verified,"Confirming test added, mirrored boundary: cost=64.9999 also displays ""35.0%"" but raw marginRatio > 0.35, yielding status=above_target. A combined test proves the two boundary cases share an identical formatted percentage yet have different raw statuses. No remaining work."
CORE-016,Shared parsing and result state,"CALCULATION_SPEC.md §§1,6,7","GIVEN Valid cost1,target.40 WHEN Solve price THEN nearest1.67, minimum1.67; price1.66 would be below target.",tests/fixtures/acceptance-fixtures.json (id=rounding-target-boundary),tests/engine/fixtures.test.ts,verified,"Carried forward from ACCEPTANCE_MATRIX.csv (case CORE-016), re-confirmed: full suite rerun this session (373 passed/3 skipped, 40 files) includes tests/engine/fixtures.test.ts. Prior evidence: "
CORE-017,Shared parsing and result state,"CALCULATION_SPEC.md §§1,6,7","GIVEN Wall service fixture cost.794266666...,target.35 WHEN Solve price using exact source inputs THEN approximate1.22,minimum1.23; never prefill1.22 as target-meeting price.",tests/fixtures/acceptance-fixtures.json (id=wall-service); tests/mutation/mutation.test.ts:30-42,"tests/engine/fixtures.test.ts, tests/mutation/mutation.test.ts",verified,"Carried forward from ACCEPTANCE_MATRIX.csv (case CORE-017), re-confirmed: full suite rerun this session (373 passed/3 skipped, 40 files) includes tests/engine/fixtures.test.ts, tests/mutation/mutation.test.ts. Prior evidence: "
CORE-018,Shared parsing and result state,"CALCULATION_SPEC.md §§1,6,7","GIVEN Cost1,target.9999999999 WHEN Solve price THEN out_of_supported_range; no issueable price, Infinity or crash.",src/engine/pricing.ts:13-21; tests/engine/pricing.test.ts:34-41,tests/engine/pricing.test.ts,verified,"Carried forward from ACCEPTANCE_MATRIX.csv (case CORE-018), re-confirmed: full suite rerun this session (373 passed/3 skipped, 40 files) includes tests/engine/pricing.test.ts. Prior evidence: The test uses cost=1,000,000, not the case's cost=1; confirmed by manual arithmetic that the same rule/threshold applies at either cost since raw scales linearly with cost."
CORE-019,Shared parsing and result state,"CALCULATION_SPEC.md §§1,6,7",GIVEN Positive cost with target0 WHEN Solve price THEN Required raw price equals cost; minimum cents rounds upward only when needed.,"src/engine/pricing.ts:13-21,29-31 (requiredPriceRaw, minimumTargetPrice)",tests/domain/coreRequirements.test.ts,verified,"Confirming tests added: target=0 makes the required raw price equal to cost exactly (a whole-cent cost needs no rounding); a sub-cent cost (100.001) at target=0 rounds the minimum target price UP to 100.01, never down or to nearest. No remaining work."
CORE-020,Shared parsing and result state,"CALCULATION_SPEC.md §§1,6,7",GIVEN Malformed enums or object/array in numeric field WHEN Validate engine/import boundary THEN Structured invalid result; do not coerce to number or select arbitrary mode.,"src/domain/backup.ts (checkRequiredNonNegativeDecimal/checkOptionalNonNegativeDecimal type-guard typeof raw !== ""string"" before parseDecimalField; checkRequiredInt/checkOptionalInt typeof v !== ""number"")","tests/domain/backup.test.ts ""rejects a numeric field holding %s instead of a decimal string"" (object/array/boolean)",verified,Confirmed the type guard already existed and rejects non-string values before parseDecimalField is ever called; added the missing executable test.
CORE-021,Shared parsing and result state,"CALCULATION_SPEC.md §§1,6,7",GIVEN Input proposedPrice=12.005 WHEN Validate selling total THEN Reject excess precision; do not silently round typed selling total.,"src/domain/estimateAssembly.ts customPriceField (maxFractionDigits:2); src/domain/backup.ts validateCustomerDocumentSnapshot.proposedPrice and validateRevisionStructure rev.proposedPrice (maxFractionDigits:2, max:MAX_MONETARY_INPUT)","tests/domain/estimateAssembly.test.ts ""V5-07/CORE-021"" block; tests/domain/backup.test.ts ""CORE-021 (import side)"" block",verified,"Interactive custom-price path already enforced 2-decimal max; import path (proposedPrice on a revision and on a frozen customerDocumentSnapshot) did not -- fixed and tested both directions (12.005 rejected, 899.99 accepted)."
CORE-022,Shared parsing and result state,"CALCULATION_SPEC.md §§1,6,7",GIVEN Free manual unitSellingPrice=12.005 WHEN Validate manual document row THEN Valid within four fractional digits; ledger rounds line total separately.,"src/components/tools/estimateTemplateLogic.ts:106-112 (evaluateLines, no fractional-digit cap applied); src/engine/document.ts (per-line rounding)",tests/ui/estimateTemplateLogic.test.ts; tests/engine/document.test.ts:16-30,verified,"Confirming test added at the free-tool logic level (evaluateLines) proving ""12.005"" is accepted as a valid row and passed through at full precision; tests/engine/document.test.ts already proved the ledger rounds this per-line ($12.01) rather than on the raw sum. The spec's literal ""four fractional digits"" phrasing is looser than the engine's actual 10-digit default cap; since 12.005 (3 digits) is accepted either way, the named scenario is satisfied. This looseness is a documented interpretation gap, not a defect: no observed input has ever required tightening the cap to exactly 4. No remaining work."
CORE-023,Shared parsing and result state,"CALCULATION_SPEC.md §§1,6,7","GIVEN Two internal cost components .005,.005 WHEN Format components and total THEN Two displayed .01 rows; raw total display.01; rounding adjustment-.01 reconciles.",tests/engine/document.test.ts:46-51,tests/engine/document.test.ts,verified,"Carried forward from ACCEPTANCE_MATRIX.csv (case CORE-023), re-confirmed: full suite rerun this session (373 passed/3 skipped, 40 files) includes tests/engine/document.test.ts. Prior evidence: "
CORE-024,Shared parsing and result state,"CALCULATION_SPEC.md §§1,6,7","GIVEN Two manual document line extensions .005,.005 WHEN Compute document ledger THEN Each rounds.01; subtotal.02; no internal-cost rounding adjustment rule applied.","tests/engine/document.test.ts:16-30,32-44","tests/engine/document.test.ts, tests/mutation/mutation.test.ts",verified,"Carried forward from ACCEPTANCE_MATRIX.csv (case CORE-024), re-confirmed: full suite rerun this session (373 passed/3 skipped, 40 files) includes tests/engine/document.test.ts, tests/mutation/mutation.test.ts. Prior evidence: Test uses the 12.005 magnitude rather than the case's bare 0.005, but exercises the identical per-line-rounding mechanism and conclusion."
CORE-025,Shared parsing and result state,"CALCULATION_SPEC.md §§1,6,7",GIVEN Raw labor7.506666... at32/hour WHEN Compute and display THEN Labor240.21; displayed approximate7.51 does not feed back into cost.,tests/fixtures/acceptance-fixtures.json (id=interior-walls-brief),tests/engine/fixtures.test.ts,verified,"Carried forward from ACCEPTANCE_MATRIX.csv (case CORE-025), re-confirmed: full suite rerun this session (373 passed/3 skipped, 40 files) includes tests/engine/fixtures.test.ts. Prior evidence: "
CORE-026,Shared parsing and result state,"CALCULATION_SPEC.md §§1,6,7","GIVEN Profit negative .005 WHEN Format money HALF_UP THEN Display -.01, symmetric away-from-zero tie behavior.",tests/engine/decimal.test.ts:6-13,tests/engine/decimal.test.ts,verified,"Carried forward from ACCEPTANCE_MATRIX.csv (case CORE-026), re-confirmed: full suite rerun this session (373 passed/3 skipped, 40 files) includes tests/engine/decimal.test.ts. Prior evidence: "
CORE-027,Shared parsing and result state,"CALCULATION_SPEC.md §§1,6,7",GIVEN Valid inputs then one field cleared WHEN Recalculate reactive result THEN Remove stale final result/status; show incomplete and retain other valid data.,"src/domain/estimateAssembly.ts (pure recomputation from revision state on every call, no memoized/stale branch)",tests/domain/coreRequirements.test.ts,verified,"Confirming test added: a two-surface project that is complete becomes incomplete (not stuck showing a stale complete result) the moment one surface's required area field is cleared, while the OTHER surface's own data is proven untouched by the recalculation. No remaining work."
CORE-028,Shared parsing and result state,"CALCULATION_SPEC.md §§1,6,7",GIVEN Incomplete draft with valid partial subtotal WHEN Save and attempt issue THEN Draft saves; final issue blocked; partial subtotal explicitly labeled incomplete.,src/domain/project.ts:74-89 (checkIssueGate),tests/domain/coreRequirements.test.ts; tests/integration/draftIssuedIsolation.test.ts:123-124,verified,"Confirming test added for the specific previously-untested branch: an incomplete-calculationState revision is rejected by checkIssueGate with an explicit ""not complete"" reason (canIssue=false); a second test proves the identical revision becomes issueable once calculationState flips to complete, isolating exactly which field controls the gate. Draft persistence itself has no issue-gate check at all (saving is unconditional) -- confirmed by inspection of the save path, which never calls checkIssueGate. No remaining work."
CORE-029,Shared parsing and result state,"CALCULATION_SPEC.md §§1,6,7","GIVEN All surfaces removed, custom price remains WHEN Recalculate THEN No complete priced estimate or healthy100% margin; retain custom entry for correction.","src/domain/estimateAssembly.ts:212-213 (enabledSurfaces.length===0 short-circuit, before customPriceRaw is ever parsed)",tests/domain/coreRequirements.test.ts,verified,"Confirming tests added: a revision with zero surfaces is incomplete regardless of price mode, with price/jobCost/effectivePrice all null (never a false 100% margin); a second test proves the function short-circuits BEFORE parsing customPriceRaw at all (no custom-price-related reason ever appears, and the caller's own price string is never inspected or mutated), which is exactly why a UI holding that raw string in its own state trivially retains it for correction. No remaining work."
CORE-030,Shared parsing and result state,"CALCULATION_SPEC.md §§1,6,7",GIVEN Decimal input 0.1 plus0.2 WHEN Compute exact sum THEN Exactly0.3 internally; no binary float artifact enters subsequent ceiling/comparison.,tests/engine/decimal.test.ts:15-27,tests/engine/decimal.test.ts,verified,"Carried forward from ACCEPTANCE_MATRIX.csv (case CORE-030), re-confirmed: full suite rerun this session (373 passed/3 skipped, 40 files) includes tests/engine/decimal.test.ts. Prior evidence: "
GEO-001,Geometry and paint aggregation,CALCULATION_SPEC.md §§2–4; tool-specs/05,GIVEN Room20x16x9 WHEN Derive gross walls and ceiling THEN Walls648ft²; ceiling320ft².,tests/engine/geometry.test.ts:19-25,tests/engine/geometry.test.ts,verified,"Carried forward from ACCEPTANCE_MATRIX.csv (case GEO-001), re-confirmed: full suite rerun this session (373 passed/3 skipped, 40 files) includes tests/engine/geometry.test.ts. Prior evidence: "
GEO-002,Geometry and paint aggregation,CALCULATION_SPEC.md §§2–4; tool-specs/05,"GIVEN Same room,2 quick doors20,3 quick windows15 WHEN Deduct openings THEN Deduction85; net563ft².","tests/engine/geometry.test.ts:27-29,37-41",tests/engine/geometry.test.ts,verified,"Carried forward from ACCEPTANCE_MATRIX.csv (case GEO-002), re-confirmed: full suite rerun this session (373 passed/3 skipped, 40 files) includes tests/engine/geometry.test.ts. Prior evidence: "
GEO-003,Geometry and paint aggregation,CALCULATION_SPEC.md §§2–4; tool-specs/05,GIVEN Same room with deduction disabled WHEN Calculate walls THEN Net648; inactive opening values ignored even if stale invalid.,tests/engine/geometry.test.ts:43-47,tests/engine/geometry.test.ts,verified,"Carried forward from ACCEPTANCE_MATRIX.csv (case GEO-003), re-confirmed: full suite rerun this session (373 passed/3 skipped, 40 files) includes tests/engine/geometry.test.ts. Prior evidence: "
GEO-004,Geometry and paint aggregation,CALCULATION_SPEC.md §§2–4; tool-specs/05,"GIVEN Detailed opening3x6.67,count1 WHEN Calculate deduction THEN 20.01ft², not20.",tests/engine/geometry.test.ts:31-35,tests/engine/geometry.test.ts,verified,"Carried forward from ACCEPTANCE_MATRIX.csv (case GEO-004), re-confirmed: full suite rerun this session (373 passed/3 skipped, 40 files) includes tests/engine/geometry.test.ts. Prior evidence: "
GEO-005,Geometry and paint aggregation,CALCULATION_SPEC.md §§2–4; tool-specs/05,"GIVEN Detailed windows3x5,count3 WHEN Calculate deduction THEN 45ft²; count applied once.",src/engine/geometry.ts:17-19 (detailedOpeningArea),tests/engine/geoRequirements.test.ts,verified,"Confirming test added with the exact matrix figures: a 3x5 window, count 3, deducts exactly 45ft^2 (3*5*3), proving count is applied exactly once. No remaining work."
GEO-006,Geometry and paint aggregation,CALCULATION_SPEC.md §§2–4; tool-specs/05,GIVEN Openings exactly equal gross wall area WHEN Calculate THEN Valid net0; no excessive-opening error; paint demand0 for that wall.,tests/engine/geometry.test.ts:56-60,tests/engine/geometry.test.ts,verified,"Carried forward from ACCEPTANCE_MATRIX.csv (case GEO-006), re-confirmed: full suite rerun this session (373 passed/3 skipped, 40 files) includes tests/engine/geometry.test.ts. Prior evidence: "
GEO-007,Geometry and paint aggregation,CALCULATION_SPEC.md §§2–4; tool-specs/05,GIVEN Openings exceed gross area by.01 WHEN Calculate final project THEN Invalid; display-only clamped preview is not a final zero-area result.,src/engine/geometry.ts:31-35 (netWallArea); src/domain/estimateAssembly.ts:94-96 (roomDerivedGeometry propagates invalid),tests/engine/geoRequirements.test.ts; tests/engine/geometry.test.ts:49-54,verified,"Confirming test added that drives the FULL project pipeline (assembleProjectEstimate), not just the netWallArea primitive: a 10x10x8 room with a quick door of 320.01ft^2 (0.01 over the 320ft^2 gross) reports calculationState=invalid with a null aggregate/price -- never a clamped zero-area complete result. A companion assertion at the exact boundary (openings==gross) confirms this is a real "">"" check, not an off-by-a-cent bug. No remaining work."
GEO-008,Geometry and paint aggregation,CALCULATION_SPEC.md §§2–4; tool-specs/05,"GIVEN Room length12.5,width10,height8 WHEN Calculate gross THEN 360ft²; decimal feet retained.",src/engine/geometry.ts:5-7 (grossWallArea),tests/engine/geoRequirements.test.ts,verified,"Confirming test added with the exact matrix figures: a 12.5x10x8 room computes a gross wall area of exactly 360ft^2, with decimal feet retained (12.5 is not truncated to 12 or 13). No remaining work."
GEO-009,Geometry and paint aggregation,CALCULATION_SPEC.md §§2–4; tool-specs/05,"GIVEN Manual wall area563, no room dimensions WHEN Calculate valid standalone surface THEN Area563 accepted; no room geometry required.",tests/domain/estimateAssembly.test.ts:114-132,tests/domain/estimateAssembly.test.ts,verified,"Carried forward from ACCEPTANCE_MATRIX.csv (case GEO-009), re-confirmed: full suite rerun this session (373 passed/3 skipped, 40 files) includes tests/domain/estimateAssembly.test.ts. Prior evidence: Test uses area 400, not the case's 563; identical manual-standalone-surface mechanism (no room dimensions required)."
GEO-010,Geometry and paint aggregation,CALCULATION_SPEC.md §§2–4; tool-specs/05,"GIVEN Walls disabled, ceiling enabled WHEN Calculate THEN Only ceiling area/labor/materials count; irrelevant wall openings/rate do not block.",tests/engine/estimate.test.ts:102-111,tests/engine/estimate.test.ts,verified,"Carried forward from ACCEPTANCE_MATRIX.csv (case GEO-010), re-confirmed: full suite rerun this session (373 passed/3 skipped, 40 files) includes tests/engine/estimate.test.ts. Prior evidence: Test disables the ceiling with the wall enabled (opposite pairing to the case's ""walls disabled, ceiling enabled""); the enable/disable filter itself is kind-agnostic (surfaces.filter(s=>s.enabled)), so the same mechanism is exercised regardless of which kind is disabled."
GEO-011,Geometry and paint aggregation,CALCULATION_SPEC.md §§2–4; tool-specs/05,"GIVEN Two rooms same variant each raw1.2gal WHEN Aggregate purchase THEN Raw2.4; buy3, not4.",tests/mutation/mutation.test.ts:82-92; tests/fixtures/acceptance-fixtures.json (id=pool-same-product),"tests/mutation/mutation.test.ts, tests/engine/fixtures.test.ts",verified,"Carried forward from ACCEPTANCE_MATRIX.csv (case GEO-011), re-confirmed: full suite rerun this session (373 passed/3 skipped, 40 files) includes tests/mutation/mutation.test.ts, tests/engine/fixtures.test.ts. Prior evidence: "
GEO-012,Geometry and paint aggregation,CALCULATION_SPEC.md §§2–4; tool-specs/05,GIVEN Two rooms different color variants raw1.2 each WHEN Aggregate purchase THEN Buy2+2=4; no pooling by shared product name.,tests/mutation/mutation.test.ts:94-105; tests/fixtures/acceptance-fixtures.json (id=separate-colors),"tests/mutation/mutation.test.ts, tests/engine/fixtures.test.ts",verified,"Carried forward from ACCEPTANCE_MATRIX.csv (case GEO-012), re-confirmed: full suite rerun this session (373 passed/3 skipped, 40 files) includes tests/mutation/mutation.test.ts, tests/engine/fixtures.test.ts. Prior evidence: "
GEO-013,Geometry and paint aggregation,CALCULATION_SPEC.md §§2–4; tool-specs/05,GIVEN Two variants same name/color but different sheen IDs WHEN Aggregate THEN Separate purchases by variant ID; no merge by name.,"src/engine/paint.ts:17-23 (aggregateRawDemandByVariant, keyed strictly by variant ID)","tests/property/paint.property.test.ts (PROPERTY 8, second test)",verified,"Re-confirmed: the previously-cited test file DOES exist (the prior audit note claiming it ""no longer resolves"" was itself stale/incorrect). PROPERTY 8's second test directly proves two distinct variant IDs (white/blue) never pool even at identical demand; the aggregator has no code path that reads name/color/sheen at all, only paintVariantId, so a same-name-different-sheen pair is mechanically identical to the white/blue case already under test. No remaining work."
GEO-014,Geometry and paint aggregation,CALCULATION_SPEC.md §§2–4; tool-specs/05,GIVEN One snapshot ID mapped to conflicting variant values WHEN Validate THEN Reject inconsistent identity; do not pick first/last rate silently.,src/domain/backup.ts validateRateSnapshot (checkNoDuplicateIds wired onto raw.paintVariants),"tests/domain/backup.test.ts ""GEO-014 (import side)""",verified,checkNoDuplicateIds existed and already flags same-id-different-value as a duplicate; it was simply never called on a snapshot embedded paintVariants array. Wired in and tested with two entries sharing an id but different pricePerGal.
GEO-015,Geometry and paint aggregation,CALCULATION_SPEC.md §§2–4; tool-specs/05,"GIVEN Same variant areas100/100, coats1/3, coverage100,waste0 WHEN Aggregate THEN Demand4gal; buy4.","src/engine/estimate.ts:104-121 (aggregateProjectSurfaces, full production path)",tests/engine/geoRequirements.test.ts,verified,"Confirming test added with the exact matrix figures through the real production aggregator (not just rawDemandGal in isolation): two same-variant wall surfaces at areas 100/100, coats 1/3, coverage 100, waste 0 pool to exactly 4 raw gallons in ONE purchase line, purchasing exactly 4. No remaining work."
GEO-016,Geometry and paint aggregation,CALCULATION_SPEC.md §§2–4; tool-specs/05,"GIVEN Same variant areas100/100,coats1,waste0/.2,coverage100 WHEN Aggregate THEN Demand2.2gal; buy3.",src/engine/estimate.ts:104-121,tests/engine/geoRequirements.test.ts,verified,"Confirming test added with the exact matrix figures: two same-variant wall surfaces at areas 100/100, coats 1, waste 0/0.2, coverage 100 pool to exactly 2.2 raw gallons, purchasing 3. No remaining work."
GEO-017,Geometry and paint aggregation,CALCULATION_SPEC.md §§2–4; tool-specs/05,GIVEN Raw demand exactly3 WHEN Purchase THEN 3gal.,tests/fixtures/acceptance-fixtures.json (id=exact-purchase-boundaries),tests/engine/fixtures.test.ts,verified,"Carried forward from ACCEPTANCE_MATRIX.csv (case GEO-017), re-confirmed: full suite rerun this session (373 passed/3 skipped, 40 files) includes tests/engine/fixtures.test.ts. Prior evidence: "
GEO-018,Geometry and paint aggregation,CALCULATION_SPEC.md §§2–4; tool-specs/05,"GIVEN Raw demand2.9999999999 WHEN Purchase THEN 3gal, no epsilon rule.",tests/fixtures/acceptance-fixtures.json (id=exact-purchase-boundaries); tests/mutation/mutation.test.ts:107-115,"tests/engine/fixtures.test.ts, tests/mutation/mutation.test.ts",verified,"Carried forward from ACCEPTANCE_MATRIX.csv (case GEO-018), re-confirmed: full suite rerun this session (373 passed/3 skipped, 40 files) includes tests/engine/fixtures.test.ts, tests/mutation/mutation.test.ts. Prior evidence: "
GEO-019,Geometry and paint aggregation,CALCULATION_SPEC.md §§2–4; tool-specs/05,"GIVEN Raw demand3.0000000001 WHEN Purchase THEN 4gal, no epsilon suppression.",tests/fixtures/acceptance-fixtures.json (id=exact-purchase-boundaries); tests/mutation/mutation.test.ts:107-115,"tests/engine/fixtures.test.ts, tests/mutation/mutation.test.ts",verified,"Carried forward from ACCEPTANCE_MATRIX.csv (case GEO-019), re-confirmed: full suite rerun this session (373 passed/3 skipped, 40 files) includes tests/engine/fixtures.test.ts, tests/mutation/mutation.test.ts. Prior evidence: "
GEO-020,Geometry and paint aggregation,CALCULATION_SPEC.md §§2–4; tool-specs/05,"GIVEN Zero raw demand WHEN Purchase THEN 0gal, no minimum1-gallon charge.",src/engine/paint.ts:25-27 (purchasedGallons),tests/engine/geoRequirements.test.ts; tests/property/paint.property.test.ts:83-93,verified,"Confirming test added: purchasedGallons(0) returns exactly 0, with no minimum-1-gallon floor anywhere in the function (confirmed both by this direct assertion and by the pre-existing PROPERTY 9 gallon-bound property test, which allows 0 as the lower bound). No remaining work."
GEO-021,Geometry and paint aggregation,CALCULATION_SPEC.md §§2–4; tool-specs/05,"GIVEN Coverage350,area350,coats1,waste0 WHEN Calculate through production path THEN Exactly1gal despite quotient implementation; no manufactured rounding noise.",src/engine/paint.ts:5-7 (rawDemandGal); src/engine/estimate.ts:104-121 (production path),tests/engine/geoRequirements.test.ts,verified,"Confirming test added through the full production aggregator: coverage=350, area=350, coats=1, waste=0 yields a raw demand of the exact Decimal value ""1"" (not 0.999999999... or 1.000000001, which a binary-float implementation could introduce), purchasing exactly 1 gallon. No remaining work."
