id,category,description,source_spec_reference,implementation_location,test_reference,evidence_type,status
GEO-05,Geometry,"Opening deduction exactly at gross area is valid (net=0); one unit above gross is invalid, never a clamped/zero-area complete surface",CALCULATION_SPEC.md §3,"src/engine/geometry.ts, src/domain/estimateAssembly.ts","tests/engine/geoRequirements.test.ts (GEO-007), tests/property/geometry.property.test.ts (PROPERTY 10)",unit+property,verified
GEO-06,Geometry,Trim paintable area = length*developedWidth,CALCULATION_SPEC.md §3,src/engine/geometry.ts,tests/engine/geometry.test.ts,unit,verified
GEO-07,Geometry,"Door paintable area = count*width*height*paintedSides (1 or 2), no implicit averaging across differently-sized doors",CALCULATION_SPEC.md §3,src/engine/geometry.ts,tests/engine/geoRequirements.test.ts (GEO-026),unit,verified
GEO-08,Geometry,Boundary sweep of room dimensions from minimum-smallest-unit through maximum+smallest-unit (MAX_ROOM_DIMENSION_FT),CALCULATION_SPEC.md §1,src/engine/parse.ts (MAX_ROOM_DIMENSION_FT),"tests/domain/boundaryMatrix.test.ts, tests/domain/boundaryFieldAcceptance.test.ts",unit,verified
PAINT-01,Paint demand/purchasing,"rawDemandGal = area*coats*(1+waste)/coverage, waste and coats each applied exactly once",CALCULATION_SPEC.md §4,src/engine/paint.ts,"tests/engine/geoRequirements.test.ts (GEO-016), tests/property/geometry.property.test.ts (PROPERTY 12)",unit+property,verified
PAINT-02,Paint demand/purchasing,"Same-variant demand pools across ALL rooms/surfaces before purchasing; purchased = ceil(pooled raw), exact boundaries never overbuy",CALCULATION_SPEC.md §4,"src/engine/paint.ts, src/engine/estimate.ts","tests/engine/geoRequirements.test.ts (GEO-015, GEO-021), tests/property/paint.property.test.ts (PROPERTY 6,7,8,9)",unit+property+differential,verified
PAINT-03,Paint demand/purchasing,Different colors/variants never pool -- each keeps its own independent ceiling,CALCULATION_SPEC.md §4,src/engine/paint.ts,"tests/property/paint.property.test.ts (PROPERTY 8, 13)",property+differential,verified
PAINT-04,Paint demand/purchasing,Disabled surfaces (even with huge invalid-looking stale geometry) contribute zero demand,CALCULATION_SPEC.md §5,src/engine/estimate.ts,tests/engine/estimate.test.ts (Disabled-surface independence),unit+differential,verified
PAINT-05,Paint demand/purchasing,"Zero-demand surfaces never force a purchase (purchasedGallons(0)=0, no minimum-1-gallon floor)",CALCULATION_SPEC.md §4,src/engine/paint.ts,tests/engine/geoRequirements.test.ts (GEO-020),unit,verified
PAINT-06,Paint demand/purchasing,"Exact-boundary sweep (just below/at/just above 1gal, 2gal, and arbitrary purchase increments)",CALCULATION_SPEC.md §4,src/engine/paint.ts,"tests/domain/boundaryMatrix.test.ts, tests/differential/oracleFixtures.test.ts (DIFF-04, 25,000 fixtures)",unit+differential,verified
PAINT-07,Paint demand/purchasing,"Price Book Health uses fractional consumption-based costing per unit, never whole-can-purchase rounding noise",CALCULATION_SPEC.md §8,src/engine/serviceHealth.ts,"tests/engine/serviceHealth.test.ts, tests/differential/oracleFixtures.test.ts (DIFF-06, 10,000 fixtures)",unit+differential,verified
LABOR-01,Labor,wallOrCeilingHours = area*coats/throughput; trimHours = length*coats/throughput,CALCULATION_SPEC.md §5,src/engine/labor.ts,"tests/engine/costRequirements.test.ts, tests/property/geometry.property.test.ts (PROPERTY 11)",unit+property,verified
LABOR-02,Labor,"doorHours = hoursPerSidePerCoat*count*sides*coats -- a fixed per-side-per-coat allowance, not an area/throughput rate",CALCULATION_SPEC.md §5,src/engine/labor.ts,tests/engine/estimate.test.ts (Standalone door surface),unit,verified
LABOR-03,Labor,"Surface labor COST is computed via a fused multiply-then-divide (area*coats*rate/throughput), not by multiplying a separately-truncated hours intermediate -- avoids losing an exact cancellation to premature rounding",CALCULATION_SPEC.md §5 (NUM-DEC-002 fix),src/engine/estimate.ts (surfaceLaborCost),tests/engine/estimate.test.ts (NUM-DEC-002),unit+differential,verified
LABOR-04,Labor,"Additional labor lines are summed once, added to surface labor, never double-counted",CALCULATION_SPEC.md §5,src/engine/labor.ts (additionalLaborCost),tests/engine/costRequirements.test.ts,unit,verified
LABOR-05,Labor,"Missing/zero/negative throughput or rate is rejected upstream (blocks completion), never silently becomes zero-hour labor",CALCULATION_SPEC.md §1,src/engine/parse.ts (isPositiveDivisor),"tests/engine/parse.test.ts, tests/domain/coreRequirements.test.ts",unit,verified
COST-01,Materials/overhead,"Other material line cost = quantity*unitCost, summed across lines",CALCULATION_SPEC.md §5,src/engine/cost.ts,tests/engine/cost.test.ts,unit,verified
COST-02,Materials/overhead,Supplies allowance: only the ACTIVE mode (none/flat/paintPercent) contributes; stale inactive-mode values (blank/malformed/negative/above-range) never leak in,CALCULATION_SPEC.md §5,src/engine/cost.ts (suppliesAllowance),tests/engine/costRequirements.test.ts,unit+differential,verified
COST-03,Materials/overhead,"paintPercent supplies mode applies its ratio to PAINT cost only, never total materials",CALCULATION_SPEC.md §5,src/engine/cost.ts,tests/engine/costRequirements.test.ts,unit,verified
COST-04,Materials/overhead,"directCost = materials + labor + otherExpenses (exact decomposition, not re-derived)",CALCULATION_SPEC.md §5,src/engine/cost.ts,tests/property/hardening.property.test.ts (PROPERTY 25),property+differential,verified
COST-05,Materials/overhead,"overhead = directCost * overheadRatio, applied exactly once; jobCost = directCost + overhead",CALCULATION_SPEC.md §5,src/engine/cost.ts,"tests/engine/cost.test.ts, tests/property/hardening.property.test.ts (PROPERTY 25)",unit+property+differential,verified
COST-06,Materials/overhead,"Overhead ratio boundary sweep: 0%, 1%, 15%, 33.333%, 50%, 75%, 100%, just-below-0%, just-above-100%",user spec Part 6,"src/engine/cost.ts, src/engine/parse.ts (MAX_RATIO)","tests/domain/boundaryMatrix.test.ts, tests/differential/oracleFixtures.test.ts (random overheadRatio 0-0.5 in valid_project fixtures)",unit+differential,verified
PRICE-01,Pricing,"requiredPriceRaw = cost/(1-target), rejects target outside [0,1), reports out_of_supported_range above MAX_REQUIRED_PRICE",CALCULATION_SPEC.md §6,src/engine/pricing.ts,"tests/engine/pricing.test.ts, tests/property/pricing.property.test.ts (PROPERTY 1,5)",unit+property,verified
PRICE-02,Pricing,"minimumTargetPrice is the MINIMUM cent that meets target (ceiling), never nearest-cent approximation which can undershoot",CALCULATION_SPEC.md §6,src/engine/pricing.ts,tests/property/pricing.property.test.ts (PROPERTY 2),property,verified
PRICE-03,Pricing,margin = profit/price (null if price<=0); markup = profit/cost (null if cost<=0) -- never substituted for each other,CALCULATION_SPEC.md §6,src/engine/pricing.ts,tests/engine/pricing.test.ts,unit,verified
PRICE-04,Pricing,unpriced (price=null) vs explicit zero_price (price=0) are distinct states with distinct profit/margin semantics,CALCULATION_SPEC.md §6,src/engine/pricing.ts,"tests/engine/fixtures.test.ts (unpriced, no-charge)",unit+differential,verified
PRICE-05,Pricing,Negative profit (price below cost) is NEVER clamped to zero or positive,CALCULATION_SPEC.md §6,src/engine/pricing.ts,tests/property/hardening.property.test.ts (PROPERTY 19),property+differential,verified
PRICE-06,Pricing,"Status derivation: below_cost / below_target / at_target / above_target boundaries exact, not off-by-one-cent",CALCULATION_SPEC.md §6,src/engine/pricing.ts,"tests/engine/fixtures.test.ts (at-target, rounding-target-boundary)",unit+differential,verified
PRICE-07,Pricing,"Target margin boundary sweep: 0, 0.01, 0.10, 0.20, 0.35, 0.50, 0.75, 0.90, 0.99, 0.999, 1.0(rejected), negative(rejected), >1.0(rejected)",user spec Part 7,src/engine/pricing.ts,"tests/domain/boundaryMatrix.test.ts, tests/differential/oracleFixtures.test.ts (random targetMarginRatio 0-0.6 in valid_project fixtures)",unit+differential,verified
PRICE-08,Pricing,Custom price persists across cost changes; suggested price recomputes live,DATA_CONTRACT.md,"src/domain/project.ts, src/components/tools/pro/ProApp.tsx",tests/domain/lifecycle.test.ts,unit,verified
TPL-01,Free estimate template,"Line total = halfUp(qty*unitPrice, 2); subtotal = SUM of rounded lines (not round(sum(raw)))",CALCULATION_SPEC.md §7,src/engine/document.ts,"tests/engine/document.test.ts, tests/property/document.property.test.ts (PROPERTY 15)",unit+property,verified
TPL-02,Free estimate template,"Tax = halfUp(subtotal*taxRatio, 2), applied to the ROUNDED subtotal, not raw",CALCULATION_SPEC.md §7,src/engine/document.ts,tests/engine/document.test.ts,unit,verified
TPL-03,Free estimate template,Sum-of-rounded-lines vs round(sum(raw)) legitimately differ by a cent for lines like two $12.005 entries -- both paths independently verified,CALCULATION_SPEC.md §7,src/engine/document.ts,tests/engine/fixtures.test.ts (document-rounding),unit+differential,verified
TPL-04,Free estimate template,"Explicit no-charge ($0 total) requires confirmation, never silently printable",tool-specs (estimate template),src/components/tools/estimateTemplateLogic.ts,tests/ui/estimateTemplate.test.tsx,component,verified
TPL-05,Free estimate template,Untouched default rows never count as a valid described line; print stays blocked,tool-specs (estimate template),src/components/tools/estimateTemplateLogic.ts,tests/ui/estimateTemplate.test.tsx (TPL-001),component,verified
JOB-01,Free job-cost calculator,"Materials mode (lumpSum|itemized), labor mode (direct|hoursRate), overhead mode (percent|flat) never blend stale inactive-mode values on switch",tool-specs (job-cost),src/components/tools/jobCostCalculatorLogic.ts,"tests/ui/jobCostCalculator.test.tsx, tests/ui/jobCostCalculatorLogic.test.ts",component,verified
JOB-02,Free job-cost calculator,Original spec fixture and homepage illustrative fixture both independently verified against the oracle,docs/acceptance-fixtures.json,src/components/tools/jobCostCalculatorLogic.ts,"tests/engine/fixtures.test.ts (job-original-brief, job-homepage)",unit+differential,verified
JOB-03,Free job-cost calculator,"Materials-only / labor-only / expense-only / zero-cost jobs each produce a correct, non-fabricated result",CALCULATION_SPEC.md §5-6,src/components/tools/jobCostCalculatorLogic.ts,tests/domain/boundaryMatrix.test.ts,unit,verified
INT-01,Free interior calculator,"Walls-only / ceiling-only / walls+ceiling, quick vs detailed openings, all supported coats and waste",tool-specs/03,src/components/tools/InteriorCalculator.tsx,"tests/ui/interiorCalculator.test.tsx, tests/ui/interiorCalculatorRequirements.test.tsx",component,verified
INT-02,Free interior calculator,"Baseline documented fixture (20x16x9, 2 doors+3 windows, 2 coats, 350 coverage, 0.10 waste, $42/gal) independently verified against the oracle",docs/acceptance-fixtures.json,src/components/tools/InteriorCalculator.tsx,"tests/ui/interiorCalculator.test.tsx, tests/engine/fixtures.test.ts (interior-walls-brief, interior-with-ceiling)",unit+differential,verified
INT-03,Free interior calculator,"Enabling labor with a blank rate blocks the result (rate-required message), never a $0 labor line",CALCULATION_SPEC.md §1,src/components/tools/InteriorCalculator.tsx,tests/ui/interiorCalculatorRequirements.test.tsx (INT-005),component,verified
HANDOFF-01,Free-to-Pro handoff,"A room built in the free calculator hands off into Pro exactly, no entered prep time/opening/surface/dimension silently dropped",DATA_CONTRACT.md,src/domain/interiorHandoff.ts,"tests/integration/freeToProWorkflow.test.tsx, tests/domain/interiorHandoff.test.ts",unit+integration,verified
HANDOFF-02,Free-to-Pro handoff,"Prep hours become an additionalLabor line at the DESTINATION's rate, never the free tool's own rate (disclosed via unsupportedFieldNotes)",DATA_CONTRACT.md,src/domain/interiorHandoff.ts,tests/domain/interiorHandoff.test.ts,unit,verified
CAT-01,Pro business settings/catalog,New draft copies current settings/catalog into its OWN activeRateSnapshot; never re-pulled on autosave,DATA_CONTRACT.md #1,src/domain/snapshot.ts,tests/domain/lifecycle.test.ts (LIFE-D01),unit,verified
CAT-02,Pro business settings/catalog,"Service default-refresh preview reports only customized (non-null) fields, never phantom differences for untouched fields",DATA_CONTRACT.md,src/domain/serviceRefresh.ts,tests/browser/serviceDefaultsRefresh.test.tsx (CAT-008),component,verified
ASM-01,Pro estimate assembly,"Wall and ceiling in the same room may use DIFFERENT paint variants; pooling is variant-keyed, never surface-kind-keyed",CALCULATION_SPEC.md §4,src/engine/estimate.ts,tests/engine/estimate.test.ts (PRO-001),unit,verified
ASM-02,Pro estimate assembly,Standalone trim/door surfaces (roomId=null) compute identically to room-attached ones,tool-specs/05,src/engine/estimate.ts,tests/engine/estimate.test.ts,unit,verified
ASM-03,Pro estimate assembly,An enabled-and-invalid surface blocks the WHOLE project -- never a partial total,CALCULATION_SPEC.md §3,src/engine/estimate.ts,"tests/engine/estimate.test.ts, tests/differential/oracleFixtures.test.ts (DIFF-03, 25,000 fixtures)",unit+differential,verified
ASM-04,Pro estimate assembly,"Zero enabled surfaces is treated as invalid/empty, not a zero-cost complete project",CALCULATION_SPEC.md §3,src/engine/estimate.ts,"tests/engine/estimate.test.ts, tests/differential/oracleFixtures.test.ts (DIFF-02, 25,000 fixtures)",unit+differential,verified
ASM-05,Pro estimate assembly,"Full project assembly pipeline (surfaces -> materials -> labor -> direct cost -> overhead -> job cost -> price) matches an independent oracle exactly across 100,000 randomly generated valid projects",CALCULATION_SPEC.md §3-6,"src/domain/estimateAssembly.ts, src/engine/estimate.ts",tests/differential/oracleFixtures.test.ts (DIFF-01),differential,verified
ASM-06,Pro estimate assembly,Reordering rooms/surfaces changes display order only -- totals and IDs unchanged,DATA_CONTRACT.md,"src/domain/project.ts (moveRoom, moveSurfaceWithinGroup)","tests/domain/reorder.test.ts, tests/browser/reorderRoomsAndSurfaces.test.tsx (PRO-014)",unit+component,verified
ASM-07,Pro estimate assembly,Renaming a room changes NO calculated total,user spec Part 16 (PROPERTY 14),"src/domain/project.ts, src/domain/estimateAssembly.ts",tests/property/hardening.property.test.ts (PROPERTY 14),property,verified
ASM-08,Pro estimate assembly,The estimate summary's displayed components reconcile exactly to the displayed total; a rounding-adjustment row appears only when needed,CALCULATION_SPEC.md §7,src/engine/document.ts (reconcileDisplayedComponents),"tests/browser/rowReconciliation.test.tsx (PRO-013), tests/property/document.property.test.ts (PROPERTY 16)",component+property,verified
HEALTH-01,Price Book Health,"Null currentSellingPrice prompts entry, never a false 0%/alarming status",CALCULATION_SPEC.md §8,src/engine/serviceHealth.ts,tests/engine/serviceHealth.test.ts (HEALTH-01),unit,verified
HEALTH-02,Price Book Health,"A price below modeled cost shows a genuine negative margin, never clamped to zero",CALCULATION_SPEC.md §8,src/engine/serviceHealth.ts,tests/engine/serviceHealth.test.ts (HEALTH-03),unit,verified
HEALTH-03,Price Book Health,"Modeled cost per unit agrees exactly with an independent oracle across 10,000 randomly generated services",CALCULATION_SPEC.md §8,src/engine/serviceHealth.ts,tests/differential/oracleFixtures.test.ts (DIFF-06),differential,verified
HEALTH-04,Price Book Health,Known cent-boundary case: nearest-cent rounding would remain below target; minimum target price rounds upward,"CALCULATION_SPEC.md §6,8","src/engine/pricing.ts, src/engine/serviceHealth.ts","tests/engine/fixtures.test.ts (rounding-target-boundary), tests/property/pricing.property.test.ts (PROPERTY 2)",unit+property,verified
ACT-01,Actual-cost review,"Finalization requires ALL FOUR categories confirmed with a non-null amount; partial state is 'in_progress', never a fabricated total",CALCULATION_SPEC.md (actuals),src/engine/actuals.ts,"tests/engine/actuals.test.ts, tests/differential/oracleFixtures.test.ts (DIFF-07)",unit+differential,verified
ACT-02,Actual-cost review,"actualMargin gated on baselinePrice>0 REGARDLESS of profit's sign -- a loss still shows a real negative margin, never suppressed",CALCULATION_SPEC.md (actuals),src/engine/actuals.ts,"tests/engine/actuals.test.ts, tests/engine/fixtures.test.ts (actual-final-loss)",unit+differential,verified
ACT-03,Actual-cost review,"AGG-005: four individually-valid category amounts can still sum past MAX_AGGREGATE_MONETARY -> out_of_supported_range, never a fabricated 'final' total",src/engine/parse.ts (MAX_AGGREGATE_MONETARY),src/engine/actuals.ts,"tests/domain/aggregateLimits.test.ts, tests/differential/oracleFixtures.test.ts (DIFF-07, 2% wide-range fixtures)",unit+differential,verified
ACT-04,Actual-cost review,"Baseline overhead allocation mode reads the FROZEN issued value directly, never re-parsed as free text",DATA_CONTRACT.md,src/components/tools/pro/ProApp.tsx (deriveOverheadCategory),tests/browser/actualsOverheadMode.test.tsx (ACT-010),component,verified
ACT-05,Actual-cost review,"Editing an already-entered actual amount REPLACES it -- delta reflects only the new value, never a sum",tool-specs (actuals),src/components/tools/pro/ProApp.tsx,tests/browser/actualsOverheadMode.test.tsx (ACT-012),component,verified
ACT-06,Actual-cost review,"totalVariance = actualCost - estimatedJobCost, sign preserved (profit and loss both real)",CALCULATION_SPEC.md (actuals),src/engine/actuals.ts,"tests/engine/fixtures.test.ts (actual-final, actual-final-loss, actual-zero-price)",unit+differential,verified
ACT-07,Actual-cost review,"Negative actual expense is invalid, never silently zeroed/clamped -- blocks finalization",CALCULATION_SPEC.md (actuals),src/components/tools/pro/ProApp.tsx,tests/browser/actualsNegativeValidation.test.tsx (ACT-015),component,verified
LIFE-01,Snapshots/revisions/refresh,Saved drafts use FROZEN rate snapshots; live catalog changes never alter an already-saved draft's calculation,DATA_CONTRACT.md #1,src/domain/snapshot.ts,tests/domain/lifecycle.test.ts (LIFE-D01),unit,verified
LIFE-02,Snapshots/revisions/refresh,Rate refresh preview shows exact differences per variant/setting field; cancel changes nothing; confirm changes only the previewed assumptions,DATA_CONTRACT.md #3,src/domain/rateRefresh.ts,tests/domain/rateRefresh.test.ts,unit,verified
LIFE-03,Snapshots/revisions/refresh,Refresh followed by undo restores IDENTICAL calculated outputs to the pre-refresh state,DATA_CONTRACT.md #3,src/domain/rateRefresh.ts,"tests/property/hardening.property.test.ts (PROPERTY 17), tests/integration/proEstimateLifecycle.test.tsx",property+integration,verified
LIFE-04,Snapshots/revisions/refresh,A new draft created from an issued revision starts with NO preRefreshCheckpoint of its own (BACK-027 fix),DATA_CONTRACT.md #3,src/domain/project.ts (createDraftFromIssued),tests/domain/lifecycle.test.ts,unit,verified
LIFE-05,Snapshots/revisions/refresh,"Issuing freezes calculated outputs (frozen jobCost/overhead/etc, schemaVersion-stamped); a frozen read never re-derives from a possibly-changed live formula",DATA_CONTRACT.md,src/domain/calculationSnapshot.ts,tests/domain/calculationSnapshot.test.ts,unit,verified
LIFE-06,Snapshots/revisions/refresh,"An issued document is frozen and never recomputed, even after the app's own engineVersion moves on","DATA_CONTRACT.md, BACK-026","src/domain/engineCompatibility.ts, src/domain/calculationSnapshot.ts",tests/browser/issuedDocumentEngineUpgrade.test.tsx (DOC-011),component,verified
LIFE-07,Snapshots/revisions/refresh,"Editing an issued revision always creates ONE new draft revision, never mutates the original",DATA_CONTRACT.md,"src/domain/project.ts (createDraftFromIssued, upsertRevision)",tests/domain/lifecycle.test.ts (LIFE-D02),unit,verified
BACKNUM-01,Backup/import numerical effects,Every decimal field in an import is re-validated against the SAME MAX_* constants the calculation engine uses,DATA_CONTRACT.md,src/domain/backup.ts (validateBackupEnvelope),tests/domain/backup.test.ts,unit,verified
BACKNUM-02,Backup/import numerical effects,"Exported then restored/imported-as-copy produces byte-identical calculated results to the pre-export state (baseline overhead value rounding fix, BACK-028)",DATA_CONTRACT.md,src/domain/backup.ts,"tests/browser/businessLogo.test.tsx (real lifecycle test), tests/browser/actualsOverheadMode.test.tsx (BACK-028 regression)",unit+component,verified
BACKNUM-03,Backup/import numerical effects,Import-as-copy remaps IDs but never re-derives or alters any numerical value,DATA_CONTRACT.md,src/domain/backup.ts (planImportAsCopies),"tests/domain/backup.test.ts, tests/audit/independent-contract.test.ts (R05)",unit,verified
BACKNUM-04,Backup/import numerical effects,No partial writes for an invalid/corrupt import -- validation happens before any write,DATA_CONTRACT.md,src/domain/backup.ts,tests/domain/backup.test.ts,unit,verified
BOUND-01,Aggregate/range limits,"Room count, surface count, combined document-line count boundary sweep against MAX_ROOMS_PER_PROJECT/MAX_SURFACES_PER_PROJECT/MAX_DOCUMENT_LINES_PER_PROJECT",CALCULATION_SPEC.md §1,src/engine/parse.ts,tests/domain/aggregateLimits.test.ts,unit,verified
BOUND-02,Aggregate/range limits,"Total area, raw paint demand, purchased gallons boundary sweep against MAX_AREA_FT2/MAX_AGGREGATE_GALLONS",CALCULATION_SPEC.md §1,src/engine/parse.ts,"tests/domain/aggregateLimits.test.ts, tests/domain/boundaryMatrix.test.ts",unit,verified
BOUND-03,Aggregate/range limits,"Total labor hours, material/labor/direct cost, overhead, job cost, required price, custom price, actual cost boundary sweep against MAX_AGGREGATE_MONETARY/MAX_AGGREGATE_HOURS/MAX_REQUIRED_PRICE",CALCULATION_SPEC.md §1,src/engine/parse.ts,tests/domain/aggregateLimits.test.ts,unit,verified
BOUND-04,Aggregate/range limits,"At-limit values remain valid; above-limit values become explicitly out_of_supported_range -- never a partial plausible total, never Infinity/NaN/silent saturation",CALCULATION_SPEC.md §1,"src/engine/parse.ts, src/domain/estimateAssembly.ts","tests/domain/aggregateLimits.test.ts, tests/property/hardening.property.test.ts (PROPERTY 21)",unit+property,verified
BOUND-05,Aggregate/range limits,Draft saving remains possible when out-of-range; issuing is blocked,CALCULATION_SPEC.md §1,src/domain/project.ts (checkIssueGate),tests/domain/aggregateLimits.test.ts,unit,verified
BOUND-06,Aggregate/range limits,"Previously-issued frozen values retain their original figures even if a later build's limits change (compatibility, not re-validated retroactively)",IMPLEMENTATION_DECISIONS.md,src/domain/calculationSnapshot.ts,tests/domain/calculationSnapshot.test.ts,unit,verified
XTOOL-01,Cross-tool consistency,Free job-cost calculator and the core pricing engine agree on identical cost/price/margin for equivalent assumptions,user spec Part 15,"src/components/tools/jobCostCalculatorLogic.ts, src/engine/pricing.ts",tests/engine/fixtures.test.ts (job-* fixtures shared with docs/acceptance-fixtures.json),unit+differential,verified
XTOOL-02,Cross-tool consistency,Free interior calculator and Pro room/surface engine agree for equivalent geometry/paint/labor assumptions,user spec Part 15,"src/components/tools/InteriorCalculator.tsx, src/engine/estimate.ts",tests/integration/freeToProWorkflow.test.tsx,integration,verified
XTOOL-03,Cross-tool consistency,"Pro estimate summary total equals the customer-document total exactly (issued, frozen)",user spec Part 15,"src/domain/customerDocument.ts, src/domain/calculationSnapshot.ts",tests/browser/draftDocumentPreview.test.tsx (DOC-004),component,verified
XTOOL-04,Cross-tool consistency,Pro estimate vs Price Book Health unit model agree when assumptions are equivalent (both route through the same overhead/pricing primitives),user spec Part 15,"src/engine/estimate.ts, src/engine/serviceHealth.ts","shared use of src/engine/cost.ts + src/engine/pricing.ts primitives, cross-validated independently in tests/differential/oracleFixtures.test.ts (DIFF-01 and DIFF-06)",differential,verified
XTOOL-05,Cross-tool consistency,"Saved/reopened calculation matches the original in-memory calculation exactly (frozen snapshot re-read, not re-derived)",DATA_CONTRACT.md,src/domain/calculationSnapshot.ts (readFrozenCalculatedOutputs),tests/domain/calculationSnapshot.test.ts,unit,verified
XTOOL-06,Cross-tool consistency,Rate-refresh-then-undo matches the pre-refresh result byte-for-byte,user spec Part 15,src/domain/rateRefresh.ts,tests/property/hardening.property.test.ts (PROPERTY 17),property,verified
DOC-01,Customer-document output,buildCustomerDocument is an ALLOW-LIST projection; a new private field is absent BY CONSTRUCTION unless deliberately added,tool-specs/08,src/domain/customerDocument.ts,"tests/domain/customerDocument.test.ts, tests/property/hardening.property.test.ts (PROPERTY 20)",unit+property,verified
DOC-02,Customer-document output,No internal cost/labor/material/overhead/profit/margin figure ever appears as a customer-document field,tool-specs/08,src/domain/customerDocument.ts (ALLOWED_FIELDS),tests/property/hardening.property.test.ts (PROPERTY 20),property,verified
DOC-03,Customer-document output,"A complete-but-not-yet-issued draft shows PRICE PENDING, never a computed number before actual issue",tool-specs/08,src/domain/customerDocument.ts,tests/browser/draftDocumentPreview.test.tsx (DOC-004),component,verified
