case_id,source_section,category,scenario,expected_result,classification,canonical_case_if_duplicate,executable_test_reference,observed_result,status,notes
CORE-011,"CALCULATION_SPEC.md §§1,6,7",Shared parsing and result state,"GIVEN Valid cost100,price0 WHEN Calculate",profit-100.00;margin=null;zero_price; priced issue needs no-charge confirmation.,uniquely required,,tests/engine/fixtures.test.ts::no-charge (price); tests/engine/pricing.test.ts::CORE pricing: status boundaries > CORE-price-02,"price=0 (explicit), cost=100, target=.35 -> profit -100.00 (NOT null), marginRatio null, status ""zero_price"".",passed,
CORE-012,"CALCULATION_SPEC.md §§1,6,7",Shared parsing and result state,"GIVEN Valid cost0,price100 WHEN Calculate",profit100.00;margin100.0%; no division by cost in margin formula.,uniquely required,,tests/domain/coreRequirements.test.ts; tests/engine/pricing.test.ts,"GIVEN Valid cost0,price100 WHEN Calculate THEN profit100.00;margin100.0%; no division by cost in margin formula.",passed,
CORE-013,"CALCULATION_SPEC.md §§1,6,7",Shared parsing and result state,"GIVEN Valid cost0,price0 WHEN Calculate","profit0.00;margin=null; zero_price, not a NaN percentage.",uniquely required,,tests/domain/coreRequirements.test.ts; tests/engine/pricing.test.ts:16-24,"GIVEN Valid cost0,price0 WHEN Calculate THEN profit0.00;margin=null; zero_price, not a NaN percentage.",passed,
CORE-014,"CALCULATION_SPEC.md §§1,6,7",Shared parsing and result state,"GIVEN Valid cost65.0001,price100,target.35 WHEN Calculate then display",displayed margin35.0% but raw below_target; do not compare formatted percentages.,uniquely required,,tests/domain/coreRequirements.test.ts,"GIVEN Valid cost65.0001,price100,target.35 WHEN Calculate then display THEN displayed margin35.0% but raw below_target; do not compare formatted percentages.",passed,
CORE-015,"CALCULATION_SPEC.md §§1,6,7",Shared parsing and result state,"GIVEN Valid cost64.9999,price100,target.35 WHEN Calculate then display",displayed margin35.0% but raw above_target.,uniquely required,,tests/domain/coreRequirements.test.ts,"GIVEN Valid cost64.9999,price100,target.35 WHEN Calculate then display THEN displayed margin35.0% but raw above_target.",passed,
CORE-016,"CALCULATION_SPEC.md §§1,6,7",Shared parsing and result state,"GIVEN Valid cost1,target.40 WHEN Solve price","nearest1.67, minimum1.67; price1.66 would be below target.",uniquely required,,tests/engine/fixtures.test.ts::rounding-target-boundary (price),"cost=1, price=1.66, target=.40 -> profit 0.66, margin 39.8%, approxPrice 1.67, minimumPrice 1.67, status ""below_target"" — exact match to the case.",passed,
CORE-017,"CALCULATION_SPEC.md §§1,6,7",Shared parsing and result state,"GIVEN Wall service fixture cost.794266666...,target.35 WHEN Solve price using exact source inputs","approximate1.22,minimum1.23; never prefill1.22 as target-meeting price.",uniquely required,,tests/engine/fixtures.test.ts::wall-service (service); tests/mutation/mutation.test.ts::MUTATION: round target price nearest instead of upward,"cost=0.794267 (wall-service fixture), target=.35 -> approxPrice (nearest-cent) 1.22 undershoots the target margin; minimumTargetPrice (ceiling-cent) 1.23 is the real, never-undershooting suggestion.",passed,
CORE-018,"CALCULATION_SPEC.md §§1,6,7",Shared parsing and result state,"GIVEN Cost1,target.9999999999 WHEN Solve price","out_of_supported_range; no issueable price, Infinity or crash.",uniquely required,,tests/engine/pricing.test.ts::CORE pricing: status boundaries > CORE-price-05,"requiredPriceRaw(1000000, .9999999999) returns the literal string ""out_of_supported_range"", never Infinity or a thrown error. Hand-verified the same threshold triggers at cost=1 too: 1/(1-.9999999999)=1e10 > MAX_REQUIRED_PRICE (1e9).",passed,
CORE-019,"CALCULATION_SPEC.md §§1,6,7",Shared parsing and result state,GIVEN Positive cost with target0 WHEN Solve price,Required raw price equals cost; minimum cents rounds upward only when needed.,uniquely required,,tests/domain/coreRequirements.test.ts,GIVEN Positive cost with target0 WHEN Solve price THEN Required raw price equals cost; minimum cents rounds upward only when needed.,passed,
CORE-020,"CALCULATION_SPEC.md §§1,6,7",Shared parsing and result state,GIVEN Malformed enums or object/array in numeric field WHEN Validate engine/import boundary,Structured invalid result; do not coerce to number or select arbitrary mode.,uniquely required,,"tests/domain/backup.test.ts ""rejects a numeric field holding %s instead of a decimal string"" (object/array/boolean)",GIVEN Malformed enums or object/array in numeric field WHEN Validate engine/import boundary THEN Structured invalid result; do not coerce to number or select arbitrary mode.,passed,
CORE-021,"CALCULATION_SPEC.md §§1,6,7",Shared parsing and result state,GIVEN Input proposedPrice=12.005 WHEN Validate selling total,Reject excess precision; do not silently round typed selling total.,uniquely required,,"tests/domain/estimateAssembly.test.ts ""V5-07/CORE-021"" block; tests/domain/backup.test.ts ""CORE-021 (import side)"" block",GIVEN Input proposedPrice=12.005 WHEN Validate selling total THEN Reject excess precision; do not silently round typed selling total.,passed,
CORE-022,"CALCULATION_SPEC.md §§1,6,7",Shared parsing and result state,GIVEN Free manual unitSellingPrice=12.005 WHEN Validate manual document row,Valid within four fractional digits; ledger rounds line total separately.,uniquely required,,tests/ui/estimateTemplateLogic.test.ts; tests/engine/document.test.ts:16-30,GIVEN Free manual unitSellingPrice=12.005 WHEN Validate manual document row THEN Valid within four fractional digits; ledger rounds line total separately.,passed,
CORE-023,"CALCULATION_SPEC.md §§1,6,7",Shared parsing and result state,"GIVEN Two internal cost components .005,.005 WHEN Format components and total",Two displayed .01 rows; raw total display.01; rounding adjustment-.01 reconciles.,uniquely required,,tests/engine/document.test.ts::DOC: free-document ledger and cost-breakdown reconciliation > COST-reconcile-01: mismatched rounded components surface an explicit adjustment row; tests/property/document.property.test.ts::PROPERTY 16,"reconcileDisplayedComponents([0.005, 0.005], 0.01) returns displayed=[""0.01"",""0.01""], displayedTotal=""0.01"", adjustment=""-0.01"" — exact match to the case.",passed,
CORE-024,"CALCULATION_SPEC.md §§1,6,7",Shared parsing and result state,"GIVEN Two manual document line extensions .005,.005 WHEN Compute document ledger",Each rounds.01; subtotal.02; no internal-cost rounding adjustment rule applied.,uniquely required,,"tests/engine/document.test.ts::DOC: free-document ledger... > DOC-02: tax computes on the ROUNDED subtotal...; DOC-03 (mutation guard); tests/mutation/mutation.test.ts::MUTATION: round subtotal only, not each line, in the free document","Two document lines of 12.005 each round independently to 12.01, subtotal 24.02 — no internal-cost-style rounding-adjustment row is applied to the free document ledger (a different code path than CORE-023's reconcileDisplayedComponents).",passed,
CORE-025,"CALCULATION_SPEC.md §§1,6,7",Shared parsing and result state,GIVEN Raw labor7.506666... at32/hour WHEN Compute and display,Labor240.21; displayed approximate7.51 does not feed back into cost.,uniquely required,,tests/engine/fixtures.test.ts::interior-walls-brief (interior),Raw hours 7.506667 (rounded for display purposes only) feeds laborCost 240.21 exactly; the displayed approximate 7.51 hours value never itself re-enters the cost computation.,passed,
CORE-026,"CALCULATION_SPEC.md §§1,6,7",Shared parsing and result state,GIVEN Profit negative .005 WHEN Format money HALF_UP,"Display -.01, symmetric away-from-zero tie behavior.",uniquely required,,"tests/engine/decimal.test.ts::CORE-026: HALF_UP rounds negative ties away from zero (symmetric), not toward +Infinity","halfUp(-0.005, 2) -> ""-0.01""; halfUp(-0.015, 2) -> ""-0.02"" — symmetric away-from-zero tie behavior confirmed.",passed,
CORE-027,"CALCULATION_SPEC.md §§1,6,7",Shared parsing and result state,GIVEN Valid inputs then one field cleared WHEN Recalculate reactive result,Remove stale final result/status; show incomplete and retain other valid data.,uniquely required,,tests/domain/coreRequirements.test.ts,GIVEN Valid inputs then one field cleared WHEN Recalculate reactive result THEN Remove stale final result/status; show incomplete and retain other valid data.,passed,
CORE-028,"CALCULATION_SPEC.md §§1,6,7",Shared parsing and result state,GIVEN Incomplete draft with valid partial subtotal WHEN Save and attempt issue,Draft saves; final issue blocked; partial subtotal explicitly labeled incomplete.,uniquely required,,tests/domain/coreRequirements.test.ts; tests/integration/draftIssuedIsolation.test.ts:123-124,GIVEN Incomplete draft with valid partial subtotal WHEN Save and attempt issue THEN Draft saves; final issue blocked; partial subtotal explicitly labeled incomplete.,passed,
CORE-029,"CALCULATION_SPEC.md §§1,6,7",Shared parsing and result state,"GIVEN All surfaces removed, custom price remains WHEN Recalculate",No complete priced estimate or healthy100% margin; retain custom entry for correction.,uniquely required,,tests/domain/coreRequirements.test.ts,"GIVEN All surfaces removed, custom price remains WHEN Recalculate THEN No complete priced estimate or healthy100% margin; retain custom entry for correction.",passed,
CORE-030,"CALCULATION_SPEC.md §§1,6,7",Shared parsing and result state,GIVEN Decimal input 0.1 plus0.2 WHEN Compute exact sum,Exactly0.3 internally; no binary float artifact enters subsequent ceiling/comparison.,uniquely required,,tests/engine/decimal.test.ts::CORE-030: exact decimal arithmetic has no binary-float artifact,"new PEP(""0.1"").plus(""0.2"").toString() === ""0.3"" exactly, explicitly contrasted against native JS's 0.1+0.2 !== 0.3.",passed,
GEO-001,CALCULATION_SPEC.md §§2–4; tool-specs/05,Geometry and paint aggregation,GIVEN Room20x16x9 WHEN Derive gross walls and ceiling,Walls648ft²; ceiling320ft².,uniquely required,,tests/engine/geometry.test.ts::GEO: room and surface geometry > GEO-01: rectangular gross wall area; GEO-02: ceiling area,"grossWallArea(20,16,9)=648; ceilingArea(20,16)=320 — both asserted (as two separate assertions in the same describe block).",passed,
GEO-002,CALCULATION_SPEC.md §§2–4; tool-specs/05,Geometry and paint aggregation,"GIVEN Same room,2 quick doors20,3 quick windows15 WHEN Deduct openings",Deduction85; net563ft².,uniquely required,,tests/engine/geometry.test.ts::GEO: room and surface geometry > GEO-03: quick opening area...; GEO-05: net wall area = gross - openings when deduction enabled,"quickOpeningArea(2,20,3,15)=85; netWallArea(648,85,true)={valid:true, area:563}.",passed,
GEO-003,CALCULATION_SPEC.md §§2–4; tool-specs/05,Geometry and paint aggregation,GIVEN Same room with deduction disabled WHEN Calculate walls,Net648; inactive opening values ignored even if stale invalid.,uniquely required,,tests/engine/geometry.test.ts::GEO: room and surface geometry > GEO-06: deduction disabled ignores opening entries entirely,"netWallArea(648,85,false)={valid:true, area:648} — opening value ignored entirely when deduction is disabled.",passed,
GEO-004,CALCULATION_SPEC.md §§2–4; tool-specs/05,Geometry and paint aggregation,"GIVEN Detailed opening3x6.67,count1 WHEN Calculate deduction","20.01ft², not20.",uniquely required,,"tests/engine/geometry.test.ts::GEO: room and surface geometry > GEO-04: detailed opening area sums width*height*count, and 3x6.67 != 20","detailedOpeningArea([{widthFt:3,heightFt:6.67,count:1}])=20.01, explicitly asserted NOT equal to the quick-mode 20.",passed,
GEO-005,CALCULATION_SPEC.md §§2–4; tool-specs/05,Geometry and paint aggregation,"GIVEN Detailed windows3x5,count3 WHEN Calculate deduction",45ft²; count applied once.,uniquely required,,tests/engine/geoRequirements.test.ts,"GIVEN Detailed windows3x5,count3 WHEN Calculate deduction THEN 45ft²; count applied once.",passed,
GEO-006,CALCULATION_SPEC.md §§2–4; tool-specs/05,Geometry and paint aggregation,GIVEN Openings exactly equal gross wall area WHEN Calculate,Valid net0; no excessive-opening error; paint demand0 for that wall.,uniquely required,,tests/engine/geometry.test.ts::GEO: room and surface geometry > GEO-08: opening area exactly equal to gross wall area -> valid zero net area,"netWallArea(100,100,true)={valid:true, area:0} — exact-equality boundary produces a valid zero, not an error.",passed,
GEO-007,CALCULATION_SPEC.md §§2–4; tool-specs/05,Geometry and paint aggregation,GIVEN Openings exceed gross area by.01 WHEN Calculate final project,Invalid; display-only clamped preview is not a final zero-area result.,uniquely required,,tests/engine/geoRequirements.test.ts; tests/engine/geometry.test.ts:49-54,GIVEN Openings exceed gross area by.01 WHEN Calculate final project THEN Invalid; display-only clamped preview is not a final zero-area result.,passed,
GEO-008,CALCULATION_SPEC.md §§2–4; tool-specs/05,Geometry and paint aggregation,"GIVEN Room length12.5,width10,height8 WHEN Calculate gross",360ft²; decimal feet retained.,uniquely required,,tests/engine/geoRequirements.test.ts,"GIVEN Room length12.5,width10,height8 WHEN Calculate gross THEN 360ft²; decimal feet retained.",passed,
GEO-009,CALCULATION_SPEC.md §§2–4; tool-specs/05,Geometry and paint aggregation,"GIVEN Manual wall area563, no room dimensions WHEN Calculate valid standalone surface",Area563 accepted; no room geometry required.,uniquely required,,tests/domain/estimateAssembly.test.ts::Suggested-price mode reports real profit/margin at the effective price (regression),"A standalone wall surface (roomId:null, measurementMode:""manual"", areaFt2:""400"") completes to a ""complete"" calculationState with no room entity present at all.",passed,
GEO-010,CALCULATION_SPEC.md §§2–4; tool-specs/05,Geometry and paint aggregation,"GIVEN Walls disabled, ceiling enabled WHEN Calculate",Only ceiling area/labor/materials count; irrelevant wall openings/rate do not block.,uniquely required,,"tests/engine/estimate.test.ts::Disabled-surface independence (mutation check...) > a disabled surface contributes zero to demand, labor, and cost","One enabled wall + one disabled ceiling (area 99999, would clearly break totals if counted) still yields the same purchase totals as the wall alone.",passed,
GEO-011,CALCULATION_SPEC.md §§2–4; tool-specs/05,Geometry and paint aggregation,GIVEN Two rooms same variant each raw1.2gal WHEN Aggregate purchase,"Raw2.4; buy3, not4.",uniquely required,,tests/mutation/mutation.test.ts::MUTATION: ceil paint per room instead of per project; tests/engine/fixtures.test.ts::pool-same-product (paint),"Two same-variant 1.2-gal demands pool to 2.4 raw gallons, ceiling ONCE to 3 purchased gallons (not 4, which per-room ceiling would wrongly produce).",passed,
GEO-012,CALCULATION_SPEC.md §§2–4; tool-specs/05,Geometry and paint aggregation,GIVEN Two rooms different color variants raw1.2 each WHEN Aggregate purchase,Buy2+2=4; no pooling by shared product name.,uniquely required,,tests/mutation/mutation.test.ts::MUTATION: pool different colors; tests/engine/fixtures.test.ts::separate-colors (paint),"White 1.2 gal + blue 1.2 gal purchase separately as 2+2=4 gallons total, never pooled into a wrongly-shared ceil(2.4)=3.",passed,
GEO-013,CALCULATION_SPEC.md §§2–4; tool-specs/05,Geometry and paint aggregation,GIVEN Two variants same name/color but different sheen IDs WHEN Aggregate,Separate purchases by variant ID; no merge by name.,uniquely required,,tests/property/paint.property.test.ts::PROPERTY 8: pooling inequality (same variant only) > never applies across different variants...,"aggregateRawDemandByVariant keys strictly on the paintVariantId string and never reads name/color/sheen — proven by the white/blue non-pooling assertion, which is the same code path a ""same name/color, different sheen ID"" pair would take.",passed,
GEO-014,CALCULATION_SPEC.md §§2–4; tool-specs/05,Geometry and paint aggregation,GIVEN One snapshot ID mapped to conflicting variant values WHEN Validate,Reject inconsistent identity; do not pick first/last rate silently.,uniquely required,,"tests/domain/backup.test.ts ""GEO-014 (import side)""",GIVEN One snapshot ID mapped to conflicting variant values WHEN Validate THEN Reject inconsistent identity; do not pick first/last rate silently.,passed,
GEO-015,CALCULATION_SPEC.md §§2–4; tool-specs/05,Geometry and paint aggregation,"GIVEN Same variant areas100/100, coats1/3, coverage100,waste0 WHEN Aggregate",Demand4gal; buy4.,uniquely required,,tests/engine/geoRequirements.test.ts,"GIVEN Same variant areas100/100, coats1/3, coverage100,waste0 WHEN Aggregate THEN Demand4gal; buy4.",passed,
GEO-016,CALCULATION_SPEC.md §§2–4; tool-specs/05,Geometry and paint aggregation,"GIVEN Same variant areas100/100,coats1,waste0/.2,coverage100 WHEN Aggregate",Demand2.2gal; buy3.,uniquely required,,tests/engine/geoRequirements.test.ts,"GIVEN Same variant areas100/100,coats1,waste0/.2,coverage100 WHEN Aggregate THEN Demand2.2gal; buy3.",passed,
GEO-017,CALCULATION_SPEC.md §§2–4; tool-specs/05,Geometry and paint aggregation,GIVEN Raw demand exactly3 WHEN Purchase,3gal.,uniquely required,,tests/engine/fixtures.test.ts::exact-purchase-boundaries (paint),"purchasedGallons(3) === 3 exactly (the ""exact"" demand in the exact-purchase-boundaries fixture).",passed,
GEO-018,CALCULATION_SPEC.md §§2–4; tool-specs/05,Geometry and paint aggregation,GIVEN Raw demand2.9999999999 WHEN Purchase,"3gal, no epsilon rule.",uniquely required,,tests/engine/fixtures.test.ts::exact-purchase-boundaries (paint); tests/mutation/mutation.test.ts::MUTATION: subtract an epsilon from all raw demands,"purchasedGallons(2.9999999999) === 3 — genuinely under 3, no epsilon leniency needed or applied.",passed,
GEO-019,CALCULATION_SPEC.md §§2–4; tool-specs/05,Geometry and paint aggregation,GIVEN Raw demand3.0000000001 WHEN Purchase,"4gal, no epsilon suppression.",uniquely required,,tests/engine/fixtures.test.ts::exact-purchase-boundaries (paint); tests/mutation/mutation.test.ts::MUTATION: subtract an epsilon from all raw demands,"purchasedGallons(3.0000000001) === 4; the mutation test proves a naive epsilon-subtraction hack would wrongly return 3, so the real implementation's exact-decimal comparison is confirmed.",passed,
GEO-020,CALCULATION_SPEC.md §§2–4; tool-specs/05,Geometry and paint aggregation,GIVEN Zero raw demand WHEN Purchase,"0gal, no minimum1-gallon charge.",uniquely required,,tests/engine/geoRequirements.test.ts; tests/property/paint.property.test.ts:83-93,"GIVEN Zero raw demand WHEN Purchase THEN 0gal, no minimum1-gallon charge.",passed,
GEO-021,CALCULATION_SPEC.md §§2–4; tool-specs/05,Geometry and paint aggregation,"GIVEN Coverage350,area350,coats1,waste0 WHEN Calculate through production path",Exactly1gal despite quotient implementation; no manufactured rounding noise.,uniquely required,,tests/engine/geoRequirements.test.ts,"GIVEN Coverage350,area350,coats1,waste0 WHEN Calculate through production path THEN Exactly1gal despite quotient implementation; no manufactured rounding noise.",passed,
GEO-022,CALCULATION_SPEC.md §§2–4; tool-specs/05,Geometry and paint aggregation,GIVEN Two enabled surfaces same room wall/ceiling different variants WHEN Calculate,"Use each surface's own coverage, coats and price; pool only compatible IDs.",uniquely required,,tests/engine/estimate.test.ts::PRO-001: independent wall vs ceiling paint variant in the same room > pools wall and ceiling demand SEPARATELY when they use different variants; tests/domain/estimateAssembly.test.ts::PRO-001 through the domain assembly: wall and ceiling in the SAME room use DIFFERENT variants,"Wall (paint-white) and ceiling (paint-blue) in the SAME room produce two separate purchase entries, each using its own coverage, coats, and price — pooling never crosses variant IDs.",passed,
GEO-023,CALCULATION_SPEC.md §§2–4; tool-specs/05,Geometry and paint aggregation,GIVEN Disabled surface with retained values WHEN Calculate,No contribution; no validation of inactive measurement fields.,uniquely required,,tests/engine/estimate.test.ts::Disabled-surface independence...; tests/domain/estimateAssembly.test.ts::Disabled surfaces never contribute (mutation check regression),"A disabled surface with garbage geometry (widthFt:""garbage"") never blocks or pollutes an otherwise-valid project and reaches calculationState ""complete"" — disabled inputs are never validated at all.",passed,
GEO-024,CALCULATION_SPEC.md §§2–4; tool-specs/05,Geometry and paint aggregation,"GIVEN Trim length100,developed width.5 WHEN Derive paintable area","50ft², not100ft² or100 doors.",uniquely required,,tests/engine/geometry.test.ts::GEO: room and surface geometry > GEO-09: trim paintable area = length * developed width...; tests/engine/fixtures.test.ts::trim-surface,"trimPaintableArea(100, 0.5) = 50, not 100 and not treated as ""100 doors.""",passed,
GEO-025,CALCULATION_SPEC.md §§2–4; tool-specs/05,Geometry and paint aggregation,"GIVEN Door count1,width3,height7,sides2 WHEN Derive area",42ft²; edges excluded explicitly.,uniquely required,,tests/engine/geometry.test.ts::GEO: room and surface geometry > GEO-10: door paintable area scales with painted sides; tests/engine/fixtures.test.ts::door-two-faces,"doorPaintableArea(1,3,7,2) = 42 (edges/frame explicitly excluded from the formula).",passed,
GEO-026,CALCULATION_SPEC.md §§2–4; tool-specs/05,Geometry and paint aggregation,"GIVEN Door count2,width3,height7,sides1 WHEN Derive area",42ft²; geometry correct independently of opening count.,uniquely required,,tests/engine/geoRequirements.test.ts,"GIVEN Door count2,width3,height7,sides1 WHEN Derive area THEN 42ft²; geometry correct independently of opening count.",passed,
GEO-027,CALCULATION_SPEC.md §§2–4; tool-specs/05,Geometry and paint aggregation,GIVEN Two doorway openings but doorsToPaint1 WHEN Calculate surfaces,Deduct two openings and paint one door only.,uniquely required,,"tests/domain/estimateAssembly.test.ts ""GEO-027"" block",GIVEN Two doorway openings but doorsToPaint1 WHEN Calculate surfaces THEN Deduct two openings and paint one door only.,passed,
GEO-028,CALCULATION_SPEC.md §§2–4; tool-specs/05,Geometry and paint aggregation,GIVEN Door surfaces with different sizes WHEN Aggregate,Sum independently derived area/demand; do not average hidden dimensions.,uniquely required,,tests/engine/geoRequirements.test.ts; tests/engine/geometry.test.ts:71-75,GIVEN Door surfaces with different sizes WHEN Aggregate THEN Sum independently derived area/demand; do not average hidden dimensions.,passed,
GEO-029,CALCULATION_SPEC.md §§2–4; tool-specs/05,Geometry and paint aggregation,GIVEN Surface input reordered/renamed WHEN Recalculate,Same totals and IDs; no dependence on index.,uniquely required,,tests/property/paint.property.test.ts::PROPERTY 6: project pooling is order-independent > any permutation of the same demand list yields identical totals per variant,"Reversing the order of a randomly-generated demand list (200 fast-check runs, fixed seed 20260914) produces identical per-variant pooled totals every time.",passed,
GEO-030,CALCULATION_SPEC.md §§2–4; tool-specs/05,Geometry and paint aggregation,GIVEN Surface split into two pieces same variant/rates WHEN Recalculate,"Same raw demand, project purchase and cost; no per-piece ceiling.",uniquely required,,tests/property/paint.property.test.ts::PROPERTY 7: same-variant split invariance; PROPERTY 8: pooling inequality (same variant only),"Splitting one raw-demand total across two same-variant surfaces yields the identical pooled raw total as one combined surface (PROPERTY 7); ceiling is applied exactly once on the pooled total, never per-piece (PROPERTY 8: sum of individual ceilings >= ceiling of the sum).",passed,
COST-001,CALCULATION_SPEC.md §5,"Labor, expenses and supplies","GIVEN Walls563,2coats,throughput150,rate32 WHEN Compute labor",Hours1126/150; cost240.213333...; display240.21.,uniquely required,,tests/engine/fixtures.test.ts::NUM fixtures — production engine (acceptance-fixtures.json) > interior-walls-brief (interior),"wallOrCeilingHours(563,2,150) and the resulting labor cost are exercised via the interior-walls-brief fixture: hours 7.506667, laborCost 240.21 — matches this case's wall-only figures exactly.",passed,
COST-002,CALCULATION_SPEC.md §5,"Labor, expenses and supplies","GIVEN Ceiling320,2coats,throughput120,rate32 WHEN Compute labor",Hours16/3; cost170.666666...; display170.67.,uniquely required,,tests/engine/costRequirements.test.ts,"GIVEN Ceiling320,2coats,throughput120,rate32 WHEN Compute labor THEN Hours16/3; cost170.666666...; display170.67.",passed,
COST-003,CALCULATION_SPEC.md §5,"Labor, expenses and supplies",GIVEN Both preceding surfaces WHEN Sum raw labor,Exactly12.84hours;410.88 cost.,uniquely required,,tests/engine/fixtures.test.ts::NUM fixtures — production engine (acceptance-fixtures.json) > interior-with-ceiling (interior),"The combined wall+ceiling fixture asserts hours 12.840000 and laborCost 410.88 exactly, matching this case's given/then. Independently corroborated by tests/mutation/mutation.test.ts's wall-throughput-for-ceiling guard.",passed,
COST-004,CALCULATION_SPEC.md §5,"Labor, expenses and supplies","GIVEN Trim100ft,2coats,throughput40,rate32 WHEN Compute labor","5hours;160.00; developed width affects paint, not throughput units.",uniquely required,,tests/engine/fixtures.test.ts::NUM fixtures — production engine (acceptance-fixtures.json) > trim-surface (surface),"trim-surface fixture asserts hours 5.000000 and laborCost 160.00 for length100/coats2/throughput40/rate32, confirming trimHours() scales with linear length, not developed-width area.",passed,
COST-005,CALCULATION_SPEC.md §5,"Labor, expenses and supplies","GIVEN Door1,sides2,coats2,time.75,rate32 WHEN Compute labor",3hours;96.00; multiply by sides once.,uniquely required,,tests/engine/fixtures.test.ts::NUM fixtures — production engine (acceptance-fixtures.json) > door-two-faces (surface),"door-two-faces fixture asserts hours 3.000000 and laborCost 96.00 for count1/sides2/coats2/time.75/rate32, confirming doorHours() multiplies by sides exactly once.",passed,
