case_id,requirement,unique_or_duplicate,executable_test_or_fixture,expected_result_source,execution_status,defect_discovered
CORE-016,"GIVEN Valid cost1,target.40 WHEN Solve price THEN nearest1.67, minimum1.67; price1.66 would be below target.",unique,tests/engine/fixtures.test.ts::rounding-target-boundary (price),CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
CORE-017,"GIVEN Wall service fixture cost.794266666...,target.35 WHEN Solve price using exact source inputs THEN approximate1.22,minimum1.23; never prefill1.22 as target-meeting price.",unique,tests/engine/fixtures.test.ts::wall-service (service); tests/mutation/mutation.test.ts::MUTATION: round target price nearest instead of upward,CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
CORE-018,"GIVEN Cost1,target.9999999999 WHEN Solve price THEN out_of_supported_range; no issueable price, Infinity or crash.",unique,tests/engine/pricing.test.ts::CORE pricing: status boundaries > CORE-price-05,CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
CORE-019,GIVEN Positive cost with target0 WHEN Solve price THEN Required raw price equals cost; minimum cents rounds upward only when needed.,unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
CORE-020,GIVEN Malformed enums or object/array in numeric field WHEN Validate engine/import boundary THEN Structured invalid result; do not coerce to number or select arbitrary mode.,unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
CORE-021,GIVEN Input proposedPrice=12.005 WHEN Validate selling total THEN Reject excess precision; do not silently round typed selling total.,unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
CORE-022,GIVEN Free manual unitSellingPrice=12.005 WHEN Validate manual document row THEN Valid within four fractional digits; ledger rounds line total separately.,unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
CORE-023,"GIVEN Two internal cost components .005,.005 WHEN Format components and total THEN Two displayed .01 rows; raw total display.01; rounding adjustment-.01 reconciles.",unique,tests/engine/document.test.ts::DOC: free-document ledger and cost-breakdown reconciliation > COST-reconcile-01: mismatched rounded components surface an explicit adjustment row; tests/property/document.property.test.ts::PROPERTY 16,CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
CORE-024,"GIVEN Two manual document line extensions .005,.005 WHEN Compute document ledger THEN Each rounds.01; subtotal.02; no internal-cost rounding adjustment rule applied.",unique,"tests/engine/document.test.ts::DOC: free-document ledger... > DOC-02: tax computes on the ROUNDED subtotal...; DOC-03 (mutation guard); tests/mutation/mutation.test.ts::MUTATION: round subtotal only, not each line, in the free document",CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
CORE-025,GIVEN Raw labor7.506666... at32/hour WHEN Compute and display THEN Labor240.21; displayed approximate7.51 does not feed back into cost.,unique,tests/engine/fixtures.test.ts::interior-walls-brief (interior),CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
CORE-026,"GIVEN Profit negative .005 WHEN Format money HALF_UP THEN Display -.01, symmetric away-from-zero tie behavior.",unique,"tests/engine/decimal.test.ts::CORE-026: HALF_UP rounds negative ties away from zero (symmetric), not toward +Infinity",CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
CORE-027,GIVEN Valid inputs then one field cleared WHEN Recalculate reactive result THEN Remove stale final result/status; show incomplete and retain other valid data.,unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
CORE-028,GIVEN Incomplete draft with valid partial subtotal WHEN Save and attempt issue THEN Draft saves; final issue blocked; partial subtotal explicitly labeled incomplete.,unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
CORE-029,"GIVEN All surfaces removed, custom price remains WHEN Recalculate THEN No complete priced estimate or healthy100% margin; retain custom entry for correction.",unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
CORE-030,GIVEN Decimal input 0.1 plus0.2 WHEN Compute exact sum THEN Exactly0.3 internally; no binary float artifact enters subsequent ceiling/comparison.,unique,tests/engine/decimal.test.ts::CORE-030: exact decimal arithmetic has no binary-float artifact,CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
GEO-001,GIVEN Room20x16x9 WHEN Derive gross walls and ceiling THEN Walls648ft²; ceiling320ft².,unique,tests/engine/geometry.test.ts::GEO: room and surface geometry > GEO-01: rectangular gross wall area; GEO-02: ceiling area,CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
GEO-002,"GIVEN Same room,2 quick doors20,3 quick windows15 WHEN Deduct openings THEN Deduction85; net563ft².",unique,tests/engine/geometry.test.ts::GEO: room and surface geometry > GEO-03: quick opening area...; GEO-05: net wall area = gross - openings when deduction enabled,CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
GEO-003,GIVEN Same room with deduction disabled WHEN Calculate walls THEN Net648; inactive opening values ignored even if stale invalid.,unique,tests/engine/geometry.test.ts::GEO: room and surface geometry > GEO-06: deduction disabled ignores opening entries entirely,CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
GEO-004,"GIVEN Detailed opening3x6.67,count1 WHEN Calculate deduction THEN 20.01ft², not20.",unique,"tests/engine/geometry.test.ts::GEO: room and surface geometry > GEO-04: detailed opening area sums width*height*count, and 3x6.67 != 20",CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
GEO-005,"GIVEN Detailed windows3x5,count3 WHEN Calculate deduction THEN 45ft²; count applied once.",unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
GEO-006,GIVEN Openings exactly equal gross wall area WHEN Calculate THEN Valid net0; no excessive-opening error; paint demand0 for that wall.,unique,tests/engine/geometry.test.ts::GEO: room and surface geometry > GEO-08: opening area exactly equal to gross wall area -> valid zero net area,CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
GEO-007,GIVEN Openings exceed gross area by.01 WHEN Calculate final project THEN Invalid; display-only clamped preview is not a final zero-area result.,unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
GEO-008,"GIVEN Room length12.5,width10,height8 WHEN Calculate gross THEN 360ft²; decimal feet retained.",unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
GEO-009,"GIVEN Manual wall area563, no room dimensions WHEN Calculate valid standalone surface THEN Area563 accepted; no room geometry required.",unique,tests/domain/estimateAssembly.test.ts::Suggested-price mode reports real profit/margin at the effective price (regression),CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
GEO-010,"GIVEN Walls disabled, ceiling enabled WHEN Calculate THEN Only ceiling area/labor/materials count; irrelevant wall openings/rate do not block.",unique,"tests/engine/estimate.test.ts::Disabled-surface independence (mutation check...) > a disabled surface contributes zero to demand, labor, and cost",CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
GEO-011,"GIVEN Two rooms same variant each raw1.2gal WHEN Aggregate purchase THEN Raw2.4; buy3, not4.",unique,tests/mutation/mutation.test.ts::MUTATION: ceil paint per room instead of per project; tests/engine/fixtures.test.ts::pool-same-product (paint),CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
GEO-012,GIVEN Two rooms different color variants raw1.2 each WHEN Aggregate purchase THEN Buy2+2=4; no pooling by shared product name.,unique,tests/mutation/mutation.test.ts::MUTATION: pool different colors; tests/engine/fixtures.test.ts::separate-colors (paint),CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
GEO-013,GIVEN Two variants same name/color but different sheen IDs WHEN Aggregate THEN Separate purchases by variant ID; no merge by name.,unique,tests/property/paint.property.test.ts::PROPERTY 8: pooling inequality (same variant only) > never applies across different variants...,CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
GEO-014,GIVEN One snapshot ID mapped to conflicting variant values WHEN Validate THEN Reject inconsistent identity; do not pick first/last rate silently.,unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
GEO-015,"GIVEN Same variant areas100/100, coats1/3, coverage100,waste0 WHEN Aggregate THEN Demand4gal; buy4.",unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
GEO-016,"GIVEN Same variant areas100/100,coats1,waste0/.2,coverage100 WHEN Aggregate THEN Demand2.2gal; buy3.",unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
GEO-017,GIVEN Raw demand exactly3 WHEN Purchase THEN 3gal.,unique,tests/engine/fixtures.test.ts::exact-purchase-boundaries (paint),CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
GEO-018,"GIVEN Raw demand2.9999999999 WHEN Purchase THEN 3gal, no epsilon rule.",unique,tests/engine/fixtures.test.ts::exact-purchase-boundaries (paint); tests/mutation/mutation.test.ts::MUTATION: subtract an epsilon from all raw demands,CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
GEO-019,"GIVEN Raw demand3.0000000001 WHEN Purchase THEN 4gal, no epsilon suppression.",unique,tests/engine/fixtures.test.ts::exact-purchase-boundaries (paint); tests/mutation/mutation.test.ts::MUTATION: subtract an epsilon from all raw demands,CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
GEO-020,"GIVEN Zero raw demand WHEN Purchase THEN 0gal, no minimum1-gallon charge.",unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
GEO-021,"GIVEN Coverage350,area350,coats1,waste0 WHEN Calculate through production path THEN Exactly1gal despite quotient implementation; no manufactured rounding noise.",unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
GEO-022,"GIVEN Two enabled surfaces same room wall/ceiling different variants WHEN Calculate THEN Use each surface's own coverage, coats and price; pool only compatible IDs.",unique,tests/engine/estimate.test.ts::PRO-001: independent wall vs ceiling paint variant in the same room > pools wall and ceiling demand SEPARATELY when they use different variants; tests/domain/estimateAssembly.test.ts::PRO-001 through the domain assembly: wall and ceiling in the SAME room use DIFFERENT variants,CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
GEO-023,GIVEN Disabled surface with retained values WHEN Calculate THEN No contribution; no validation of inactive measurement fields.,unique,tests/engine/estimate.test.ts::Disabled-surface independence...; tests/domain/estimateAssembly.test.ts::Disabled surfaces never contribute (mutation check regression),CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
GEO-024,"GIVEN Trim length100,developed width.5 WHEN Derive paintable area THEN 50ft², not100ft² or100 doors.",unique,tests/engine/geometry.test.ts::GEO: room and surface geometry > GEO-09: trim paintable area = length * developed width...; tests/engine/fixtures.test.ts::trim-surface,CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
GEO-025,"GIVEN Door count1,width3,height7,sides2 WHEN Derive area THEN 42ft²; edges excluded explicitly.",unique,tests/engine/geometry.test.ts::GEO: room and surface geometry > GEO-10: door paintable area scales with painted sides; tests/engine/fixtures.test.ts::door-two-faces,CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
GEO-026,"GIVEN Door count2,width3,height7,sides1 WHEN Derive area THEN 42ft²; geometry correct independently of opening count.",unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
GEO-027,GIVEN Two doorway openings but doorsToPaint1 WHEN Calculate surfaces THEN Deduct two openings and paint one door only.,unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
GEO-028,GIVEN Door surfaces with different sizes WHEN Aggregate THEN Sum independently derived area/demand; do not average hidden dimensions.,unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
GEO-029,GIVEN Surface input reordered/renamed WHEN Recalculate THEN Same totals and IDs; no dependence on index.,unique,tests/property/paint.property.test.ts::PROPERTY 6: project pooling is order-independent > any permutation of the same demand list yields identical totals per variant,CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
GEO-030,"GIVEN Surface split into two pieces same variant/rates WHEN Recalculate THEN Same raw demand, project purchase and cost; no per-piece ceiling.",unique,tests/property/paint.property.test.ts::PROPERTY 7: same-variant split invariance; PROPERTY 8: pooling inequality (same variant only),CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
COST-001,"GIVEN Walls563,2coats,throughput150,rate32 WHEN Compute labor THEN Hours1126/150; cost240.213333...; display240.21.",unique,tests/engine/fixtures.test.ts::NUM fixtures — production engine (acceptance-fixtures.json) > interior-walls-brief (interior),CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
COST-002,"GIVEN Ceiling320,2coats,throughput120,rate32 WHEN Compute labor THEN Hours16/3; cost170.666666...; display170.67.",unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
COST-003,GIVEN Both preceding surfaces WHEN Sum raw labor THEN Exactly12.84hours;410.88 cost.,unique,tests/engine/fixtures.test.ts::NUM fixtures — production engine (acceptance-fixtures.json) > interior-with-ceiling (interior),CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
COST-004,"GIVEN Trim100ft,2coats,throughput40,rate32 WHEN Compute labor THEN 5hours;160.00; developed width affects paint, not throughput units.",unique,tests/engine/fixtures.test.ts::NUM fixtures — production engine (acceptance-fixtures.json) > trim-surface (surface),CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
COST-005,"GIVEN Door1,sides2,coats2,time.75,rate32 WHEN Compute labor THEN 3hours;96.00; multiply by sides once.",unique,tests/engine/fixtures.test.ts::NUM fixtures — production engine (acceptance-fixtures.json) > door-two-faces (surface),CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
COST-006,GIVEN Same door with sides1 WHEN Compute labor THEN 1.5hours;48.00; no implicit second side.,unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
COST-007,"GIVEN Additional prep2hours,rate32 WHEN Add to estimate THEN Labor increases64; at overhead.15 total cost increases73.60.",unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
COST-008,GIVEN Two labor lines with different loaded rates WHEN Calculate THEN Sum each hours*own rate; never multiply total hours by one arbitrary rate.,unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
COST-009,"GIVEN Paint126,itemized supplies20,allowance none WHEN Calculate materials THEN 146.00; no hidden default allowance.",unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
COST-010,"GIVEN Paint126,itemized supplies20,allowance flat10 WHEN Calculate materials THEN 156.00; allowance shown separately.",unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
COST-011,"GIVEN Paint126,itemized supplies20,allowance paintPercent.10 WHEN Calculate materials THEN 158.60; allowance12.60 based on paint only, not all materials.",unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
COST-012,GIVEN Switch allowance flat10 to none while old ratio.10 retained WHEN Recalculate THEN Neither old flat nor ratio contributes.,unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
COST-013,"GIVEN Switch allowance flat10 to paintPercent.10,paint126 WHEN Recalculate THEN 12.60 allowance only; no22.60 blend.",unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
COST-014,"GIVEN Travel default50 WHEN Create new draft, autosave and recalculate repeatedly THEN Exactly one expense50; overhead7.50 at.15 on that expense.",unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
COST-015,GIVEN Existing draft travel line changed to75 WHEN Recalculate THEN Keep75; no second50 default expense.,unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
COST-016,"GIVEN Supplies line quantity3,unit cost2.50 WHEN Calculate THEN 7.50 added once.",unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
COST-017,GIVEN Loaded rate already includes burden WHEN Calculate without explicit additional expense THEN No automatically added burden multiplier beyond selected overhead allocation.,unique,"tests/engine/cost.test.ts::COST-05, COST-06",CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
COST-018,"GIVEN Direct cost100,overhead0 WHEN Calculate THEN Total100; zero overhead valid.",unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
COST-019,"GIVEN Direct cost100,overhead1 WHEN Calculate THEN Overhead100,total200; warning unusual, not invalid.",unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
TPL-001,GIVEN Empty new template with untouched row WHEN Attempt priced print THEN Block until a described valid row; no blank priced document.,unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
TPL-002,GIVEN One untouched empty row plus valid row1x100 WHEN Calculate THEN Ignore untouched row;subtotal100.,unique,manual browser verification (BUG_FIX_LOG.md #2); arithmetic corroborated by tests/engine/document.test.ts::DOC-02,CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
TPL-003,GIVEN Description entered but quantity blank WHEN Calculate/print THEN Incomplete; priced output blocked; not silently quantity0 or1.,unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
TPL-004,GIVEN Quantity/price entered but description blank WHEN Calculate/print THEN Incomplete row; not excluded from print while included in total.,unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
TPL-005,GIVEN One line2x12.50 WHEN Calculate THEN Line/subtotal25.00.,unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
TPL-006,"GIVEN Two lines1x12.005,tax10% WHEN Calculate document THEN 12.01 each;subtotal24.02;tax2.40;total26.42.",unique,"tests/engine/fixtures.test.ts::""document-rounding (document)"" ; tests/engine/document.test.ts::DOC-02",CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
TPL-007,GIVEN One line3x.3333 WHEN Calculate THEN Extension.9999 ->1.00; subtotal1.00.,unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
TPL-008,"GIVEN Tax disabled with retained taxRatio.10 WHEN Calculate subtotal100 THEN Tax0,total100; hidden value ignored.",unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
TPL-009,GIVEN Tax enabled ratio0 WHEN Calculate THEN Valid tax0; no forced tax assumption.,unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
TPL-010,GIVEN Tax ratio.25 and .2501 in separate cases WHEN Validate THEN .25 no unusual-rate warning; .2501 warning but valid up to1.,unique,tests/ui/estimateTemplateLogic.test.ts (validateTaxPercent),CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
TPL-011,"GIVEN Tax ratio1.01 or negative WHEN Validate THEN Invalid, not automatically reduced to allowed limit.",unique,tests/ui/estimateTemplateLogic.test.ts (validateTaxPercent boundary cases),CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
TPL-012,GIVEN Explicit quantity0 with described row and price100 WHEN Print row THEN Row0.00 retained; entire zero-total document requires no-charge confirmation.,unique,"tests/ui/estimateTemplateLogic.test.ts (evaluatePrintEligibility, cloneDraftForDuplicate)",CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
TPL-013,GIVEN Blank business/customer headers WHEN Print valid estimate THEN Allowed with neutral presentation; no undefined/null or fabricated identity.,unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
TPL-014,GIVEN Duplicate estimate WHEN Edit duplicate line/header THEN Original unchanged; new IDs; estimate number cleared.,unique,"tests/ui/estimateTemplateLogic.test.ts (evaluateLines, duplicate independence)",CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
TPL-015,GIVEN Same description on two valid rows WHEN Calculate THEN Both independent lines counted; no deduplication.,unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
TPL-016,GIVEN Currency/units text contains ft² or non-ASCII name WHEN Print THEN Characters retained legibly; no replacement artifacts.,unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
TPL-017,GIVEN User prints without Pro entitlement WHEN Complete free document THEN Full useful print/PDF available; no access gate.,unique,source inspection (negative verification),CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
JOB-001,GIVEN Untouched initial page WHEN Render THEN Guidance to enter/confirm costs; no apparently complete0.00 recommendation.,unique,Manual browser verification (Claude Browser session) — see BUG_FIX_LOG.md #12,CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
JOB-002,GIVEN User explicitly confirms all zero costs WHEN Calculate THEN Labeled zero-cost scenario allowed; distinguish from untouched.,unique,Manual browser verification (Claude Browser session) — see BUG_FIX_LOG.md #12,CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
JOB-003,"GIVEN 42hours*32,22gal*42,supplies180,travel100,other75,overhead.15,target.35 WHEN Calculate THEN Direct2623;overhead393.45;cost3016.45;approx4640.69;minimum4640.70.",unique,"tests/engine/fixtures.test.ts::""job-original-brief (job)""",CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
JOB-004,"GIVEN Materials620,labor1280,expenses0,overhead.15,enteredPrice3200 WHEN Reverse calculate THEN Cost2185;estimated profit1015;estimated margin31.7%;review pricing.",unique,"tests/engine/fixtures.test.ts::""job-homepage (job)""",CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
JOB-005,GIVEN Materials mode lumpSum620 with stale itemized values WHEN Calculate THEN Materials620 only.,unique,tests/ui/jobCostCalculatorLogic.test.ts,CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
JOB-006,"GIVEN Switch to itemized gallons2.5*42,supplies10 WHEN Calculate THEN Materials115; no ceil to3 because input is purchased quantity.",unique,tests/ui/jobCostCalculatorLogic.test.ts,CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
JOB-007,GIVEN Labor direct100 while stale hours42/rate32 WHEN Calculate THEN Labor100 only.,unique,tests/ui/jobCostCalculatorLogic.test.ts,CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
JOB-008,GIVEN Switch to hoursRate2*50 WHEN Calculate THEN Labor100; direct prior value excluded.,unique,tests/ui/jobCostCalculatorLogic.test.ts,CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
JOB-009,"GIVEN Direct cost200,overheadMode flat,amount30,stale ratio.15 WHEN Calculate THEN Overhead30;cost230; no percentage addition.",unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
JOB-010,GIVEN Switch overhead to percent.10 WHEN Calculate THEN Overhead20;flat30 ignored.,unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
JOB-011,GIVEN EnterPrice mode blank WHEN Calculate THEN Cost available; estimated profit/margin null; prompt for price.,unique,tests/engine/pricing.test.ts::CORE-price-02 (unpriced case),CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
JOB-012,"GIVEN EnterPrice mode0 with positive cost WHEN Calculate THEN Negative estimated profit,undefined margin,zero-price status.",unique,tests/engine/pricing.test.ts::CORE-price-02 (zero-price case),CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
JOB-013,GIVEN Target100% WHEN Calculate engine directly and through UI THEN Invalid; never display Infinity or a target suggestion.,unique,"tests/engine/pricing.test.ts::CORE-price-03, CORE-price-04, CORE-price-05",CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
JOB-014,GIVEN User changes cost after valid result WHEN Recalculate THEN Output reflects current active inputs; no old result shown as current.,unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
JOB-015,"GIVEN Free tool result labels WHEN Inspect THEN Estimated profit/margin, not actual; implied target price not market recommendation.",unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
INT-001,"GIVEN 20x16x9,doors2x20,windows3x15,walls only,2coats,coverage350,waste.1,paint42 WHEN Calculate THEN Area563;coat1126;raw3.538857...;buy4;paint168.",unique,"tests/engine/fixtures.test.ts::""interior-walls-brief (interior)""",CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
INT-002,"GIVEN Same room with ceiling enabled and rates150/120,labor32 WHEN Calculate THEN Area883;raw5.5502857...;buy6;paint252;hours12.84;labor410.88;total662.88.",unique,"tests/engine/fixtures.test.ts::""interior-with-ceiling (interior)""",CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
